htgrk;htypek;gtypek;grunntype
L;L;L;L Ferskvannsbunnsystemer
L;L4;L4-C-1;L4-C-01 Helofytt-ferskvannssump - KA 1 (KA ab < 2 mg Ca/L)
L;L4;L4-C-2;L4-C-02 Helofytt-ferskvannssump - KA 1 (KA cde 2 - 10 mg Ca/L)
L;L4;L4-C-3;L4-C-03 Helofytt-ferskvannssump - KA 1 (KA fghi > 10 mg Ca/L)
T;T1;;
T;T1;T1-C-1;T1-C-01 lite tørkeutsatte svært og temmelig kalkfattige nakne berg
T;T1;T1-C-2;T1-C-02 tørkeutsatte svært og temmelig kalkfattige bergbergvegger og knauser
T;T1;T1-C-3;T1-C-03 lite tørkeutsatte litt kalkfattige og svakt intermediære nakne berg
T;T1;T1-C-4;T1-C-04 tørkeutsatte litt kalkfattige og svakt intermediære bergbergvegger og knauser
T;T1;T1-C-5;T1-C-05 lite tørkeutsatte sterkt intermediære og litt kalkrike nakne berg 
T;T1;T1-C-6;T1-C-06 tørkeutsatte sterkt intermediære og litt kalkrike bergbergvegger og knauser
T;T1;T1-C-7;T1-C-07 lite tørkeutsatte temmelig til ekstremt kalkrike nakne berg 
T;T1;T1-C-8;T1-C-08 tørkeutsatte temmelig til ekstremt kalkrike bergbergvegger og knauser
T;T1;T1-C-9;T1-C-09 svakt intermediært og kalkfattig forblåst berg
T;T1;T1-C-10;T1-C-10 sterkt intermediært til ekstremt kalkrikt forblåst berg
T;T1;T1-C-11;T1-C-11 svakt intermediært og kalkfattig snøleieberg
T;T1;T1-C-12;T1-C-12 sterkt intermediært til ekstremt kalkrikt snøleieberg
T;T2;;
T;T2;T2-C-1;T2-C-1 åpen kalkfattig grunnlendt lyngmark
T;T2;T2-C-2;T2-C-2 åpen kalkfattig grunnlendt lavmark
T;T2;T2-C-3;T2-C-3 åpen intermediær grunnlendt lyngmark
T;T2;T2-C-4;T2-C-4 åpen intermediær grunnlendt lavmark
T;T2;T2-C-5;T2-C-5 åpen svakt kalkrik grunnlendt lyngmark
T;T2;T2-C-6;T2-C-6 åpen svakt kalkrik grunnlendt lavmark
T;T2;T2-C-7;T2-C-7 åpen sterkt kalkrik grunnlendt lyngmark
T;T2;T2-C-8;T2-C-8 åpen sterkt kalkrik grunnlendt lavmark
T;T3;;
T;T3;T3-C-1;T3-C-01 kalkfattig leside
T;T3;T3-C-2;T3-C-02 kalkfattig fjell-lynghei
T;T3;T3-C-3;T3-C-03 kalkfattig fjell-lavhei
T;T3;T3-C-4;T3-C-04 intermediær leside
T;T3;T3-C-5;T3-C-05 intermediær fjell-lynghei
