htgrk,htypek,gtypek,grunntype
F,F-1,F1-C-1,F1-C-1  kalk­fat­ti­ge og in­ter­me­diæ­re elve­vann­mas­ser
F,F-1,F1-C-2,F1-C-2  kalk­fat­ti­ge og in­ter­me­diæ­re hu­mø­se elve­vann­mas­ser
F,F-1,F1-C-3,F1-C-3  vann­mas­ser i stryk og ­fos­ser
F,F-1,F1-C-4,F1-C-4  hu­mø­se ­vann­mas­ser i stryk og ­fos­ser
F,F-1,F1-C-5,F1-C-5  kalk­rike elve­vann­mas­ser
F,F-1,F1-C-6,F1-C-6  kalk­rike hu­mø­se elve­vann­mas­ser
F,F-2,F2-C-1,F2-C-1  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-10,F2-C-10  tem­po­rære ­vann­fore­koms­ter
F,F-2,F2-C-11,F2-C-11  tur­bi­de inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-12,F2-C-12  tur­bi­de inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-13,F2-C-13  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-14,F2-C-14  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-15,F2-C-15  hu­mø­se kalk­rike inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-16,F2-C-16  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-17,F2-C-17  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-18,F2-C-18  hu­mø­se kalk­rike inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-19,F2-C-19  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-C-2,F2-C-2  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-20,F2-C-20  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-C-21,F2-C-21  hu­mø­se kalk­rike inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-C-3,F2-C-3  kla­re kalk­rike inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-C-4,F2-C-4  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-5,F2-C-5  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-6,F2-C-6  kla­re kalk­rike inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-C-7,F2-C-7  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-C-8,F2-C-8  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-C-9,F2-C-9  kla­re kalk­rike inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-4,F4-C-1,F4-C-1  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sisk ­inn­grep
F,F-4,F4-C-2,F4-C-2  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­misk ­inn­grep
F,F-4,F4-C-3,F4-C-3  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gisk ­inn­grep
F,F-5,F5-C-1,F5-C-1  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sisk ­inn­grep
F,F-5,F5-C-2,F5-C-2  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­misk ­inn­grep
F,F-5,F5-C-3,F5-C-3  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gisk ­inn­grep
F,F-5,F5-C-4,F5-C-4  ny­e inn­sjø­vann­mas­ser
H,H-1,H1-C-1,H1-C-1  epipe­la­gia­le hav­vann­mas­ser
H,H-1,H1-C-2,H1-C-2  me­s­ope­la­gia­le hav­vann­mas­ser
H,H-1,H1-C-3,H1-C-3  bat­hype­la­gia­le hav­vann­mas­ser
H,H-1,H1-C-4,H1-C-4  abyss­ope­la­gia­le hav­vann­mas­ser
H,H-1,H1-C-5,H1-C-5  epipe­la­gia­le ­kyst­vann­mas­ser
H,H-2,H2-C-1,H2-C-1  fjord
H,H-2,H2-C-2,H2-C-2  stor ­poll
H,H-2,H2-C-3,H2-C-3  mindre ­poll
H,H-2,H2-C-4,H2-C-4  stor­t ­li­to­ral­bas­seng
H,H-2,H2-C-5,H2-C-5  li­te ­li­to­ral­bas­seng
H,H-2,H2-C-6,H2-C-6  tem­po­rært ­li­to­ral­bas­seng
H,H-2,H2-C-7,H2-C-7  stor ­brakk­vanns­poll
H,H-2,H2-C-8,H2-C-8  mindre ­brakk­vanns­poll
H,H-4,H4-C-1,H4-C-1  vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sis­ke ­inn­grep
H,H-4,H4-C-2,H4-C-2  vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­mis­ke ­inn­grep
H,H-4,H4-C-3,H4-C-3  vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gis­ke ­inn­grep
H,H-4,H4-C-4,H4-C-4  ny­e ­ma­ri­ne ­vann­mas­ser
L,L-1,L1-C-1,L1-C-1  kalk­fat­tig ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-C-2,L1-C-2  in­ter­me­diær ­til ­litt kalk­rik ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-C-3,L1-C-3  kalk­rik ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-C-4,L1-C-4  kalk­fat­tig ­fast elve­bunn ­med s­ter­k ­strøm
L,L-1,L1-C-5,L1-C-5  in­ter­me­diær ­til ­litt kalk­rik ­fast elve­bunn ­med s­ter­k ­strøm
L,L-1,L1-C-6,L1-C-6  kalk­rik ­fast elve­bunn ­med s­ter­k ­strøm
L,L-1,L1-C-7,L1-C-7  klar ­til hu­møs kalk­fat­tig ­fast inn­sjø- og ro­lig elve­bunn
L,L-2,L2-C-1,L2-C-1  svær­t kalk­fat­tig sand og ­grus­bunn
L,L-2,L2-C-10,L2-C-10  litt kalk­fat­tig ­til in­ter­me­diær stein­bunn
L,L-2,L2-C-11,L2-C-11  litt kalk­fat­tig ­til in­ter­me­diær ­or­ga­nisk ­løs­bunn
L,L-2,L2-C-12,L2-C-12  litt kalk­fat­tig ­til in­ter­me­diær ­myr­torv­bunn
L,L-2,L2-C-13,L2-C-13  kalk­rik sand- og ­grus­bunn
L,L-2,L2-C-14,L2-C-14  kalk­rik ­løs­bunn
L,L-2,L2-C-15,L2-C-15  kalk­rik ­leir­bunn
L,L-2,L2-C-16,L2-C-16  kalk­rik stein­bunn
L,L-2,L2-C-17,L2-C-17  dis­rup­tiv ­se­di­men­ta­sjons­bunn
L,L-2,L2-C-18,L2-C-18  kalk­rik ­or­ga­nisk ­løs­bunn
L,L-2,L2-C-19,L2-C-19  kalk­rik ­myr­torv­bunn
L,L-2,L2-C-2,L2-C-2  svær­t kalk­fat­tig ­løs­bunn
L,L-2,L2-C-3,L2-C-3  svær­t kalk­fat­tig stein­bunn
L,L-2,L2-C-4,L2-C-4  svær­t kalk­fat­tig ­or­ga­nisk ­løs­bunn
L,L-2,L2-C-5,L2-C-5  svær­t kalk­fat­tig ­myr­torv­bunn
L,L-2,L2-C-6,L2-C-6  høl­je­gjøl­bunn
