"fid","htgrk","htypek","gtypek","grunntype","adb_id"
0,"0","0","0","0 - Ikke kartlagt",""
1,"F","F1","F1-E-1","F1-E-1 - Svært kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-1"
2,"F","F1","F1-E-2","F1-E-2 - Svært kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-2"
3,"F","F1","F1-E-3","F1-E-3 - Noe kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-3"
4,"F","F1","F1-E-4","F1-E-4 - Noe kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-4"
5,"F","F1","F1-E-5","F1-E-5 - Moderat kalkrike lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-5"
6,"F","F1","F1-E-6","F1-E-6 - Svært kalkrike lagdelte vannmasser med enkelt fiskesamfunn","NA F1-E-6"
7,"F","F1","F1-E-7","F1-E-7 - Svært kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-7"
8,"F","F1","F1-E-8","F1-E-8 - Svært kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-8"
9,"F","F1","F1-E-9","F1-E-9 - Noe kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-9"
10,"F","F1","F1-E-10","F1-E-10 - Noe kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-10"
11,"F","F1","F1-E-11","F1-E-11 - Moderat kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-11"
12,"F","F1","F1-E-12","F1-E-12 - Svært kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-E-12"
13,"F","F1","F1-E-13","F1-E-13 - Svært kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-13"
14,"F","F1","F1-E-14","F1-E-14 - Svært kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-14"
15,"F","F1","F1-E-15","F1-E-15 - Noe kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-15"
16,"F","F1","F1-E-16","F1-E-16 - Noe kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-16"
17,"F","F1","F1-E-17","F1-E-17 - Moderat kalkrike lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-17"
18,"F","F1","F1-E-18","F1-E-18 - Svært kalkrike lagdelte vannmasser med komplekst fiskesamfunn","NA F1-E-18"
19,"F","F2","F2-E-1","F2-E-1 - Svært kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","NA F2-E-1"
20,"F","F2","F2-E-2","F2-E-2 - Svært kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn","NA F2-E-2"
21,"F","F2","F2-E-3","F2-E-3 - Noe kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","NA F2-E-3"
