"","htgrk","htypek","gtypek","grunntype","adb_id"
0,"0","0","0","0 - Ikke kartlagt",""
1,"F","F01","F01-C-01","F1-C-1 - Svært kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-1"
2,"F","F01","F01-C-02","F1-C-2 - Svært kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-2"
3,"F","F01","F01-C-03","F1-C-3 - Noe kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-3"
4,"F","F01","F01-C-04","F1-C-4 - Noe kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-4"
5,"F","F01","F01-C-05","F1-C-5 - Moderat kalkrike lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-5"
6,"F","F01","F01-C-06","F1-C-6 - Svært kalkrike lagdelte vannmasser med enkelt fiskesamfunn","NA F1-C-6"
7,"F","F01","F01-C-07","F1-C-7 - Svært kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-7"
8,"F","F01","F01-C-08","F1-C-8 - Svært kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-8"
9,"F","F01","F01-C-09","F1-C-9 - Noe kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-9"
10,"F","F01","F01-C-10","F1-C-10 - Noe kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-10"
11,"F","F01","F01-C-11","F1-C-11 - Moderat kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-11"
12,"F","F01","F01-C-12","F1-C-12 - Svært kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn","NA F1-C-12"
13,"F","F01","F01-C-13","F1-C-13 - Svært kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-13"
14,"F","F01","F01-C-14","F1-C-14 - Svært kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-14"
15,"F","F01","F01-C-15","F1-C-15 - Noe kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-15"
16,"F","F01","F01-C-16","F1-C-16 - Noe kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-16"
17,"F","F01","F01-C-17","F1-C-17 - Moderat kalkrike lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-17"
18,"F","F01","F01-C-18","F1-C-18 - Svært kalkrike lagdelte vannmasser med komplekst fiskesamfunn","NA F1-C-18"
19,"F","F02","F02-C-01","F2-C-1 - Svært kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","NA F2-C-1"
20,"F","F02","F02-C-02","F2-C-2 - Svært kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn","NA F2-C-2"
21,"F","F02","F02-C-03","F2-C-3 - Noe kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","NA F2-C-3"
22,"F","F02","F02-C-04","F2-C-4 - Noe kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn","NA F2-C-4"
23,"F","F02","F02-C-05","F2-C-5 - Moderat kalkrike grunne vannmasser med enkelt fiskesamfunn","NA F2-C-5"
24,"F","F02","F02-C-06","F2-C-6 - Svært kalkrike grunne vannmasser med enkelt fiskesamfunn","NA F2-C-6"
25,"F","F02","F02-C-07","F2-C-7 - Svært kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-7"
26,"F","F02","F02-C-08","F2-C-8 - Svært kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-8"
27,"F","F02","F02-C-09","F2-C-9 - Noe kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-9"
28,"F","F02","F02-C-10","F2-C-10 - Noe kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-10"
29,"F","F02","F02-C-11","F2-C-11 - Moderat kalkrike grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-11"
30,"F","F02","F02-C-12","F2-C-12 - Svært kalkrike grunne vannmasser med middels komplekst fiskesamfunn","NA F2-C-12"
31,"F","F02","F02-C-13","F2-C-13 - Svært kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn","NA F2-C-13"
32,"F","F02","F02-C-14","F2-C-14 - Svært kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn","NA F2-C-14"
33,"F","F02","F02-C-15","F2-C-15 - Noe kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn","NA F2-C-15"
34,"F","F02","F02-C-16","F2-C-16 - Noe kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn","NA F2-C-16"
35,"F","F02","F02-C-17","F2-C-17 - Moderat kalkrike grunne vannmasser med komplekst fiskesamfunn","NA F2-C-17"
36,"F","F02","F02-C-18","F2-C-18 - Svært kalkrike grunne vannmasser med komplekst fiskesamfunn","NA F2-C-18"
37,"F","F03","F03-C-01","F3-C-1 - Svært kalkfattige og klare lagdelte vannmasser uten fisk","NA F3-C-1"
38,"F","F03","F03-C-02","F3-C-2 - Svært kalkfattige og humøse lagdelte vannmasser uten fisk","NA F3-C-2"
39,"F","F03","F03-C-03","F3-C-3 - Noe kalkfattige og klare lagdelte vannmasser uten fisk","NA F3-C-3"
40,"F","F03","F03-C-04","F3-C-4 - Noe kalkfattige og humøse lagdelte vannmasser uten fisk","NA F3-C-4"
41,"F","F03","F03-C-05","F3-C-5 - Moderat kalkrike lagdelte vannmasser uten fisk","NA F3-C-5"
42,"F","F03","F03-C-06","F3-C-6 - Svært kalkrike lagdelte vannmasser uten fisk","NA F3-C-6"
43,"F","F04","F04-C-01","F4-C-1 - Svært kalkfattige og klare store grunne vannmasser uten fisk","NA F4-C-1"
44,"F","F04","F04-C-02","F4-C-2 - Svært kalkfattige og klare små grunne vannmasser uten fisk","NA F4-C-2"
45,"F","F04","F04-C-03","F4-C-3 - Noe kalkfattige og klare store grunne vannmasser uten fisk","NA F4-C-3"
46,"F","F04","F04-C-04","F4-C-4 - Noe kalkfattige og klare små grunne vannmasser uten fisk","NA F4-C-4"
47,"F","F04","F04-C-05","F4-C-5 - Moderat kalkrike og klare store grunne vannmasser uten fisk","NA F4-C-5"
48,"F","F04","F04-C-06","F4-C-6 - Moderat kalkrike og klare små grunne vannmasser uten fisk","NA F4-C-6"
49,"F","F04","F04-C-07","F4-C-7 - Svært kalkrike og klare store grunne vannmasser uten fisk","NA F4-C-7"
