htgrk,htypek,gtypek,grunntype
F,F-1,F1-E-1,F1-E-1  kalk­fat­ti­ge og in­ter­me­diæ­re elve­vann­mas­ser
F,F-1,F1-E-2,F1-E-2  kalk­fat­ti­ge og in­ter­me­diæ­re hu­mø­se elve­vann­mas­ser
F,F-1,F1-E-3,F1-E-3  vann­mas­ser i stryk og ­fos­ser
F,F-1,F1-E-4,F1-E-4  hu­mø­se ­vann­mas­ser i stryk og ­fos­ser
F,F-1,F1-E-5,F1-E-5  kalk­rike elve­vann­mas­ser
F,F-1,F1-E-6,F1-E-6  kalk­rike hu­mø­se elve­vann­mas­ser
F,F-2,F2-E-1,F2-E-1  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-10,F2-E-10  tem­po­rære ­vann­fore­koms­ter
F,F-2,F2-E-11,F2-E-11  tur­bi­de inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-12,F2-E-12  tur­bi­de inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-13,F2-E-13  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-14,F2-E-14  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-15,F2-E-15  hu­mø­se kalk­rike inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-16,F2-E-16  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-17,F2-E-17  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-18,F2-E-18  hu­mø­se kalk­rike inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-19,F2-E-19  hu­mø­se kalk­fat­ti­ge inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-E-2,F2-E-2  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-20,F2-E-20  hu­mø­se in­ter­me­diæ­re inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-E-21,F2-E-21  hu­mø­se kalk­rike inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-E-3,F2-E-3  kla­re kalk­rike inn­sjø­mas­ser i ­dy­pe inn­sjø­er ­med ­sjik­ting
F,F-2,F2-E-4,F2-E-4  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-5,F2-E-5  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-6,F2-E-6  kla­re kalk­rike inn­sjø­mas­ser i s­må og/el­ler ­grun­ne inn­sjø­er
F,F-2,F2-E-7,F2-E-7  kla­re kalk­fat­ti­ge inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-E-8,F2-E-8  kla­re in­ter­me­diæ­re inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-2,F2-E-9,F2-E-9  kla­re kalk­rike inn­sjø­mas­ser i ­dam­mer og pyt­ter
F,F-4,F4-E-1,F4-E-1  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sisk ­inn­grep
F,F-4,F4-E-2,F4-E-2  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­misk ­inn­grep
F,F-4,F4-E-3,F4-E-3  elve­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gisk ­inn­grep
F,F-5,F5-E-1,F5-E-1  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sisk ­inn­grep
F,F-5,F5-E-2,F5-E-2  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­misk ­inn­grep
F,F-5,F5-E-3,F5-E-3  inn­sjø­vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gisk ­inn­grep
F,F-5,F5-E-4,F5-E-4  ny­e inn­sjø­vann­mas­ser
H,H-1,H1-E-1,H1-E-1  epipe­la­gia­le hav­vann­mas­ser
H,H-1,H1-E-2,H1-E-2  me­s­ope­la­gia­le hav­vann­mas­ser
H,H-1,H1-E-3,H1-E-3  bat­hype­la­gia­le hav­vann­mas­ser
H,H-1,H1-E-4,H1-E-4  abyss­ope­la­gia­le hav­vann­mas­ser
H,H-1,H1-E-5,H1-E-5  epipe­la­gia­le ­kyst­vann­mas­ser
H,H-2,H2-E-1,H2-E-1  fjord
H,H-2,H2-E-2,H2-E-2  stor ­poll
H,H-2,H2-E-3,H2-E-3  mindre ­poll
H,H-2,H2-E-4,H2-E-4  stor­t ­li­to­ral­bas­seng
H,H-2,H2-E-5,H2-E-5  li­te ­li­to­ral­bas­seng
H,H-2,H2-E-6,H2-E-6  tem­po­rært ­li­to­ral­bas­seng
H,H-2,H2-E-7,H2-E-7  stor ­brakk­vanns­poll
H,H-2,H2-E-8,H2-E-8  mindre ­brakk­vanns­poll
H,H-4,H4-E-1,H4-E-1  vann­mas­ser sterk­t ­endret ­gjen­nom­ ­fy­sis­ke ­inn­grep
H,H-4,H4-E-2,H4-E-2  vann­mas­ser sterk­t ­endret ­gjen­nom­ kje­mis­ke ­inn­grep
H,H-4,H4-E-3,H4-E-3  vann­mas­ser sterk­t ­endret ­gjen­nom­ ­bio­lo­gis­ke ­inn­grep
H,H-4,H4-E-4,H4-E-4  ny­e ­ma­ri­ne ­vann­mas­ser
L,L-1,L1-E-1,L1-E-1  kalk­fat­tig ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-E-2,L1-E-2  in­ter­me­diær ­til ­litt kalk­rik ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-E-3,L1-E-3  kalk­rik ­fast og s­vær­t klar inn­sjø- og ro­lig elve­bunn
L,L-1,L1-E-4,L1-E-4  kalk­fat­tig ­fast elve­bunn ­med s­ter­k ­strøm
