pid,_id,lec_id,value,order
1,AS.0,AS,0,0
2,AS.a,AS,a,1
3,BK.0,BK,0,0
4,BK.a,BK,a,1
5,BK.b,BK,b,2
6,BK.c,BK,c,3
7,BK.d,BK,d,4
8,DD.0,DD,0,0
9,DD.a,DD,a,1
10,DL.0,DL,0,0
11,DL.a,DL,a,1
12,DL.b,DL,b,3
13,DL.c,DL,c,4
14,DL.d,DL,d,5
15,DL.e,DL,e,6
16,DL.+,DL,+,6
17,DM.0,DM,0,0
18,DM.a,DM,a,1
19,DM.b,DM,b,3
20,DM.c,DM,c,4
21,DM.d,DM,d,5
22,DM.e,DM,e,6
23,DM.f,DM,f,7
24,ER.0,ER,0,0
25,ER.a,ER,a,1
26,ER.b,ER,b,2
27,ER.¤,ER,¤,3
28,FK.0,FK,0,0
29,FK.a,FK,a,1
30,FK.b,FK,b,2
31,FK.c,FK,c,3
32,FK.d,FK,d,4
33,FK.e,FK,e,5
34,FR.0,FR,0,0
35,FR.a,FR,a,1
36,GS.0,GS,0,0
37,GS.a,GS,a,1
38,GS.b,GS,b,2
39,GS.¤,GS,¤,5
40,GS.c,GS,c,3
41,GS.d,GS,d,4
42,HF.0,HF,0,0
43,HF.a,HF,a,1
44,HF.b,HF,b,2
45,HF.+,HF,+,3
46,HI.0,HI,0,0
47,HI.a,HI,a,1
48,HI.b,HI,b,2
49,HI.e,HI,e,5
50,HI.j,HI,j,9
51,HI.c,HI,c,3
52,HI.d,HI,d,4
53,HI.f,HI,f,6
54,HI.g,HI,g,7
55,HI.h,HI,h,8
56,HI.i,HI,i,9
57,HR.0,HR,0,0
58,HR.a,HR,a,1
59,HU.0,HU,0,0
60,HU.a,HU,a,1
61,HU.b,HU,b,2
62,HU.c,HU,c,3
63,HU.d,HU,d,4
64,IF.0,IF,0,0
65,IF.a,IF,a,1
66,IF.b,IF,b,2
67,IF.¤,IF,¤,3
68,IO.0,IO,0,0
69,IO.a,IO,a,1
70,IO.b,IO,b,2
71,IO.¤,IO,¤,3
72,JF.0,JF,0,0
73,JF.a,JF,a,1
74,JF.b,JF,b,2
75,JV.0,JV,0,0
76,JV.a,JV,a,1
77,JV.b,JV,b,2
78,JV.c,JV,c,3
79,JV.¤,JV,¤,6
80,JV.d,JV,d,4
81,JV.e,JV,e,5
82,KA.a,KA,a,0
83,KA.b,KA,b,1
84,KA.c,KA,c,2
85,KA.d,KA,d,3
86,KA.e,KA,e,4
87,KA.f,KA,f,5
