pid,_id,elementarySegmentGroup_id,majorTypeLEC_id
1,KA.ab/UF.a/KI.0a,KA.ab,T4-KA
2,KA.ab/UF.a/KI.0a,UF.a,T4-UF
3,KA.ab/UF.a/KI.0a,KI.0a,T4-KI
4,KA.c/UF.a/KI.0a,KA.c,T4-KA
5,KA.c/UF.a/KI.0a,UF.a,T4-UF
6,KA.c/UF.a/KI.0a,KI.0a,T4-KI
7,KA.d/UF.a/KI.0a,KA.d,T4-KA
8,KA.d/UF.a/KI.0a,UF.a,T4-UF
9,KA.d/UF.a/KI.0a,KI.0a,T4-KI
10,KA.e/UF.a/KI.0a,KA.e,T4-KA
11,KA.e/UF.a/KI.0a,UF.a,T4-UF
12,KA.e/UF.a/KI.0a,KI.0a,T4-KI
13,KA.f/UF.a/KI.0a,KA.f,T4-KA
14,KA.f/UF.a/KI.0a,UF.a,T4-UF
15,KA.f/UF.a/KI.0a,KI.0a,T4-KI
16,KA.g/UF.a/KI.0a,KA.g,T4-KA
17,KA.g/UF.a/KI.0a,UF.a,T4-UF
18,KA.g/UF.a/KI.0a,KI.0a,T4-KI
19,KA.h/UF.a/KI.0a,KA.h,T4-KA
20,KA.h/UF.a/KI.0a,UF.a,T4-UF
21,KA.h/UF.a/KI.0a,KI.0a,T4-KI
22,KA.i/UF.a/KI.0a,KA.i,T4-KA
23,KA.i/UF.a/KI.0a,UF.a,T4-UF
24,KA.i/UF.a/KI.0a,KI.0a,T4-KI
25,KA.ab/UF.b/KI.0a,KA.ab,T4-KA
26,KA.ab/UF.b/KI.0a,UF.b,T4-UF
27,KA.ab/UF.b/KI.0a,KI.0a,T4-KI
28,KA.c/UF.b/KI.0a,KA.c,T4-KA
29,KA.c/UF.b/KI.0a,UF.b,T4-UF
30,KA.c/UF.b/KI.0a,KI.0a,T4-KI
31,KA.d/UF.b/KI.0a,KA.d,T4-KA
32,KA.d/UF.b/KI.0a,UF.b,T4-UF
33,KA.d/UF.b/KI.0a,KI.0a,T4-KI
34,KA.e/UF.b/KI.0a,KA.e,T4-KA
35,KA.e/UF.b/KI.0a,UF.b,T4-UF
36,KA.e/UF.b/KI.0a,KI.0a,T4-KI
37,KA.f/UF.b/KI.0a,KA.f,T4-KA
38,KA.f/UF.b/KI.0a,UF.b,T4-UF
39,KA.f/UF.b/KI.0a,KI.0a,T4-KI
40,KA.g/UF.b/KI.0a,KA.g,T4-KA
41,KA.g/UF.b/KI.0a,UF.b,T4-UF
42,KA.g/UF.b/KI.0a,KI.0a,T4-KI
43,KA.h/UF.b/KI.0a,KA.h,T4-KA
44,KA.h/UF.b/KI.0a,UF.b,T4-UF
45,KA.h/UF.b/KI.0a,KI.0a,T4-KI
46,KA.i/UF.b/KI.0a,KA.i,T4-KA
47,KA.i/UF.b/KI.0a,UF.b,T4-UF
48,KA.i/UF.b/KI.0a,KI.0a,T4-KI
49,KA.ab/UF.c/KI.0a,KA.ab,T4-KA
50,KA.ab/UF.c/KI.0a,UF.c,T4-UF
51,KA.ab/UF.c/KI.0a,KI.0a,T4-KI
52,KA.c/UF.c/KI.0a,KA.c,T4-KA
53,KA.c/UF.c/KI.0a,UF.c,T4-UF
54,KA.c/UF.c/KI.0a,KI.0a,T4-KI
55,KA.d/UF.c/KI.0a,KA.d,T4-KA
56,KA.d/UF.c/KI.0a,UF.c,T4-UF
57,KA.d/UF.c/KI.0a,KI.0a,T4-KI
58,KA.e/UF.c/KI.0a,KA.e,T4-KA
59,KA.e/UF.c/KI.0a,UF.c,T4-UF
60,KA.e/UF.c/KI.0a,KI.0a,T4-KI
61,KA.f/UF.c/KI.0a,KA.f,T4-KA
62,KA.f/UF.c/KI.0a,UF.c,T4-UF
63,KA.f/UF.c/KI.0a,KI.0a,T4-KI
64,KA.g/UF.c/KI.0a,KA.g,T4-KA
65,KA.g/UF.c/KI.0a,UF.c,T4-UF
66,KA.g/UF.c/KI.0a,KI.0a,T4-KI
67,KA.h/UF.c/KI.0a,KA.h,T4-KA
68,KA.h/UF.c/KI.0a,UF.c,T4-UF
69,KA.h/UF.c/KI.0a,KI.0a,T4-KI
70,KA.i/UF.c/KI.0a,KA.i,T4-KA
71,KA.i/UF.c/KI.0a,UF.c,T4-UF
72,KA.i/UF.c/KI.0a,KI.0a,T4-KI
73,KA.ab/UF.d/KI.0a,KA.ab,T4-KA
74,KA.ab/UF.d/KI.0a,UF.d,T4-UF
75,KA.ab/UF.d/KI.0a,KI.0a,T4-KI
76,KA.c/UF.d/KI.0a,KA.c,T4-KA
77,KA.c/UF.d/KI.0a,UF.d,T4-UF
78,KA.c/UF.d/KI.0a,KI.0a,T4-KI
79,KA.d/UF.d/KI.0a,KA.d,T4-KA
80,KA.d/UF.d/KI.0a,UF.d,T4-UF
81,KA.d/UF.d/KI.0a,KI.0a,T4-KI
82,KA.e/UF.d/KI.0a,KA.e,T4-KA
83,KA.e/UF.d/KI.0a,UF.d,T4-UF
84,KA.e/UF.d/KI.0a,KI.0a,T4-KI
85,KA.f/UF.d/KI.0a,KA.f,T4-KA
86,KA.f/UF.d/KI.0a,UF.d,T4-UF
87,KA.f/UF.d/KI.0a,KI.0a,T4-KI
88,KA.g/UF.d/KI.0a,KA.g,T4-KA
89,KA.g/UF.d/KI.0a,UF.d,T4-UF
90,KA.g/UF.d/KI.0a,KI.0a,T4-KI
91,KA.h/UF.d/KI.0a,KA.h,T4-KA
92,KA.h/UF.d/KI.0a,UF.d,T4-UF
93,KA.h/UF.d/KI.0a,KI.0a,T4-KI
94,KA.i/UF.d/KI.0a,KA.i,T4-KA
95,KA.i/UF.d/KI.0a,UF.d,T4-UF
96,KA.i/UF.d/KI.0a,KI.0a,T4-KI
97,KA.ab/UF.e/KI.0a,KA.ab,T4-KA
98,KA.ab/UF.e/KI.0a,UF.e,T4-UF
99,KA.ab/UF.e/KI.0a,KI.0a,T4-KI
100,KA.c/UF.e/KI.0a,KA.c,T4-KA
101,KA.c/UF.e/KI.0a,UF.e,T4-UF
102,KA.c/UF.e/KI.0a,KI.0a,T4-KI
103,KA.d/UF.e/KI.0a,KA.d,T4-KA
104,KA.d/UF.e/KI.0a,UF.e,T4-UF
105,KA.d/UF.e/KI.0a,KI.0a,T4-KI
106,KA.e/UF.e/KI.0a,KA.e,T4-KA
107,KA.e/UF.e/KI.0a,UF.e,T4-UF
108,KA.e/UF.e/KI.0a,KI.0a,T4-KI
109,KA.f/UF.e/KI.0a,KA.f,T4-KA
110,KA.f/UF.e/KI.0a,UF.e,T4-UF
111,KA.f/UF.e/KI.0a,KI.0a,T4-KI
112,KA.g/UF.e/KI.0a,KA.g,T4-KA
113,KA.g/UF.e/KI.0a,UF.e,T4-UF
114,KA.g/UF.e/KI.0a,KI.0a,T4-KI
115,KA.h/UF.e/KI.0a,KA.h,T4-KA
116,KA.h/UF.e/KI.0a,UF.e,T4-UF
117,KA.h/UF.e/KI.0a,KI.0a,T4-KI
118,KA.i/UF.e/KI.0a,KA.i,T4-KA
119,KA.i/UF.e/KI.0a,UF.e,T4-UF
120,KA.i/UF.e/KI.0a,KI.0a,T4-KI
121,KA.ab/UF.f/KI.0a,KA.ab,T4-KA
122,KA.ab/UF.f/KI.0a,UF.f,T4-UF
123,KA.ab/UF.f/KI.0a,KI.0a,T4-KI
124,KA.c/UF.f/KI.0a,KA.c,T4-KA
125,KA.c/UF.f/KI.0a,UF.f,T4-UF
126,KA.c/UF.f/KI.0a,KI.0a,T4-KI
127,KA.d/UF.f/KI.0a,KA.d,T4-KA
128,KA.d/UF.f/KI.0a,UF.f,T4-UF
129,KA.d/UF.f/KI.0a,KI.0a,T4-KI
130,KA.e/UF.f/KI.0a,KA.e,T4-KA
131,KA.e/UF.f/KI.0a,UF.f,T4-UF
132,KA.e/UF.f/KI.0a,KI.0a,T4-KI
133,KA.f/UF.f/KI.0a,KA.f,T4-KA
134,KA.f/UF.f/KI.0a,UF.f,T4-UF
135,KA.f/UF.f/KI.0a,KI.0a,T4-KI
136,KA.g/UF.f/KI.0a,KA.g,T4-KA
137,KA.g/UF.f/KI.0a,UF.f,T4-UF
138,KA.g/UF.f/KI.0a,KI.0a,T4-KI
139,KA.h/UF.f/KI.0a,KA.h,T4-KA
140,KA.h/UF.f/KI.0a,UF.f,T4-UF
141,KA.h/UF.f/KI.0a,KI.0a,T4-KI
142,KA.i/UF.f/KI.0a,KA.i,T4-KA
143,KA.i/UF.f/KI.0a,UF.f,T4-UF
144,KA.i/UF.f/KI.0a,KI.0a,T4-KI
145,KA.ab/UF.g/KI.0a,KA.ab,T4-KA
146,KA.ab/UF.g/KI.0a,UF.g,T4-UF
147,KA.ab/UF.g/KI.0a,KI.0a,T4-KI
148,KA.c/UF.g/KI.0a,KA.c,T4-KA
149,KA.c/UF.g/KI.0a,UF.g,T4-UF
150,KA.c/UF.g/KI.0a,KI.0a,T4-KI
151,KA.d/UF.g/KI.0a,KA.d,T4-KA
152,KA.d/UF.g/KI.0a,UF.g,T4-UF
153,KA.d/UF.g/KI.0a,KI.0a,T4-KI
154,KA.e/UF.g/KI.0a,KA.e,T4-KA
155,KA.e/UF.g/KI.0a,UF.g,T4-UF
156,KA.e/UF.g/KI.0a,KI.0a,T4-KI
157,KA.f/UF.g/KI.0a,KA.f,T4-KA
158,KA.f/UF.g/KI.0a,UF.g,T4-UF
159,KA.f/UF.g/KI.0a,KI.0a,T4-KI
