pid,_id,majorTypeGroup_id,order,detail_id
1,F-1,F,1,major_type_F-1
2,F-2,F,2,major_type_F-2
3,F-3,F,3,major_type_F-3
4,F-4,F,4,major_type_F-4
5,F-5,F,5,major_type_F-5
6,H-1,H,1,major_type_H-1
7,H-2,H,2,major_type_H-2
8,H-3,H,3,major_type_H-3
9,H-4,H,4,major_type_H-4
10,I-1,I,1,major_type_I-1
11,I-2,I,2,major_type_I-2
12,L-1,L,1,major_type_L-1
13,L-2,L,2,major_type_L-2
14,L-3,L,3,major_type_L-3
15,L-4,L,4,major_type_L-4
16,L-5,L,5,major_type_L-5
17,L-6,L,6,major_type_L-6
18,L-7,L,7,major_type_L-7
19,L-8,L,8,major_type_L-8
20,M-1,M,1,major_type_M-1
21,M-2,M,2,major_type_M-2
22,M-3,M,3,major_type_M-3
23,M-4,M,4,major_type_M-4
24,M-5,M,5,major_type_M-5
25,M-6,M,6,major_type_M-6
26,M-7,M,7,major_type_M-7
27,M-8,M,8,major_type_M-8
28,M-9,M,9,major_type_M-9
29,M-10,M,10,major_type_M-10
30,M-11,M,11,major_type_M-11
31,M-12,M,12,major_type_M-12
32,M-13,M,13,major_type_M-13
33,M-14,M,14,major_type_M-14
34,M-15,M,15,major_type_M-15
35,T-1,T,1,major_type_T-1
36,T-2,T,2,major_type_T-2
37,T-3,T,3,major_type_T-3
38,T-4,T,4,major_type_T-4
39,T-5,T,5,major_type_T-5
40,T-6,T,6,major_type_T-6
41,T-7,T,7,major_type_T-7
42,T-8,T,8,major_type_T-8
43,T-9,T,9,major_type_T-9
44,T-10,T,10,major_type_T-10
45,T-11,T,11,major_type_T-11
46,T-12,T,12,major_type_T-12
47,T-13,T,13,major_type_T-13
48,T-14,T,14,major_type_T-14
49,T-15,T,15,major_type_T-15
50,T-16,T,16,major_type_T-16
51,T-17,T,17,major_type_T-17
52,T-18,T,18,major_type_T-18
53,T-19,T,19,major_type_T-19
54,T-20,T,20,major_type_T-20
55,T-21,T,21,major_type_T-21
56,T-22,T,22,major_type_T-22
57,T-23,T,23,major_type_T-23
58,T-24,T,24,major_type_T-24
59,T-25,T,25,major_type_T-25
60,T-26,T,26,major_type_T-26
61,T-27,T,27,major_type_T-27
62,T-28,T,28,major_type_T-28
63,T-29,T,29,major_type_T-29
64,T-30,T,30,major_type_T-30
65,T-31,T,31,major_type_T-31
66,T-32,T,32,major_type_T-32
67,T-33,T,33,major_type_T-33
68,T-34,T,34,major_type_T-34
69,T-35,T,35,major_type_T-35
70,T-36,T,36,major_type_T-36
71,T-37,T,37,major_type_T-37
72,T-38,T,38,major_type_T-38
73,T-39,T,39,major_type_T-39
74,T-40,T,40,major_type_T-40
75,T-41,T,41,major_type_T-41
76,T-42,T,42,major_type_T-42
77,T-43,T,43,major_type_T-43
78,T-44,T,44,major_type_T-44
79,T-45,T,45,major_type_T-45
80,V-1,V,1,major_type_V-1
81,V-2,V,2,major_type_V-2
82,V-3,V,3,major_type_V-3
83,V-4,V,4,major_type_V-4
84,V-5,V,5,major_type_V-5
85,V-6,V,6,major_type_V-6
86,V-7,V,7,major_type_V-7
87,V-8,V,8,major_type_V-8
88,V-9,V,9,major_type_V-9
89,V-10,V,10,major_type_V-10
90,V-11,V,11,major_type_V-11
91,V-12,V,12,major_type_V-12
92,V-13,V,13,major_type_V-13
