,id,adb_id,name
0,F1-E-1,NA F1-E-1,Svært kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn
1,F1-E-2,NA F1-E-2,Svært kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn
2,F1-E-3,NA F1-E-3,Noe kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn
3,F1-E-4,NA F1-E-4,Noe kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn
4,F1-E-5,NA F1-E-5,Moderat kalkrike lagdelte vannmasser med enkelt fiskesamfunn
5,F1-E-6,NA F1-E-6,Svært kalkrike lagdelte vannmasser med enkelt fiskesamfunn
6,F1-E-7,NA F1-E-7,Svært kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn
7,F1-E-8,NA F1-E-8,Svært kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn
8,F1-E-9,NA F1-E-9,Noe kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn
9,F1-E-10,NA F1-E-10,Noe kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn
10,F1-E-11,NA F1-E-11,Moderat kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn
11,F1-E-12,NA F1-E-12,Svært kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn
12,F1-E-13,NA F1-E-13,Svært kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn
13,F1-E-14,NA F1-E-14,Svært kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn
14,F1-E-15,NA F1-E-15,Noe kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn
15,F1-E-16,NA F1-E-16,Noe kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn
16,F1-E-17,NA F1-E-17,Moderat kalkrike lagdelte vannmasser med komplekst fiskesamfunn
17,F1-E-18,NA F1-E-18,Svært kalkrike lagdelte vannmasser med komplekst fiskesamfunn
18,F2-E-1,NA F2-E-1,Svært kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn
19,F2-E-2,NA F2-E-2,Svært kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn
20,F2-E-3,NA F2-E-3,Noe kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn
21,F2-E-4,NA F2-E-4,Noe kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn
22,F2-E-5,NA F2-E-5,Moderat kalkrike grunne vannmasser med enkelt fiskesamfunn
23,F2-E-6,NA F2-E-6,Svært kalkrike grunne vannmasser med enkelt fiskesamfunn
24,F2-E-7,NA F2-E-7,Svært kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn
25,F2-E-8,NA F2-E-8,Svært kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn
26,F2-E-9,NA F2-E-9,Noe kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn
27,F2-E-10,NA F2-E-10,Noe kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn
28,F2-E-11,NA F2-E-11,Moderat kalkrike grunne vannmasser med middels komplekst fiskesamfunn
29,F2-E-12,NA F2-E-12,Svært kalkrike grunne vannmasser med middels komplekst fiskesamfunn
30,F2-E-13,NA F2-E-13,Svært kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn
31,F2-E-14,NA F2-E-14,Svært kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn
32,F2-E-15,NA F2-E-15,Noe kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn
