"","htgrk","htypek","hovedtype","adb_id"
0,"0","0","0 - Ikke kartlagt",""
1,"F","F01","F01 - Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn","NA F1"
2,"F","F02","F02 - Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn","NA F2"
3,"F","F03","F03 - Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser","NA F3"
4,"F","F04","F04 - Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser","NA F4"
5,"F","F05","F05 - Turbide vannmasser","NA F5"
6,"F","F06","F06 - Grottesjø-vannmasser","NA F6"
7,"F","F07","F07 - Innsjø-vannmasser preget av oksygenmangel","NA F7"
8,"F","F08","F08 - Elvevannmasser","NA F8"
9,"F","F09","F09 - Nye innsjø-vannmasser","NA F9"
10,"F","F10","F10 - Innsjø-vannmasser preget av kronisk kjemisk påvirkning","NA F10"
11,"F","F11","F11 - Innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F11"
12,"F","F12","F12 - Elvevannmasser preget av kronisk kjemisk påvirkning","NA F12"
13,"F","F13","F13 - Elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F13"
14,"H","H01","H01 - Havvannmasser","NA H1"
15,"H","H02","H02 - Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster","NA H2"
16,"H","H03","H03 - Ikke-sirkulerende marine vannmasser i fysisk avgrensete saltvannsforekomster","NA H3"
17,"H","H04","H04 - Sterkt endrete marine vannmasser","NA H4"
18,"I","I01","I01 - Snø- og isdekt fastmark","NA I1"
19,"L","L01","L01 - Eufotisk fast innsjøbunn","NA L1"
20,"L","L02","L02 - Eufotisk innsjø-sedimentbunn","NA L2"
21,"L","L03","L03 - Afotisk (dyp) innsjø-sedimentbunn","NA L3"
22,"L","L04","L04 - Helofyttsump","NA L4"
23,"L","L05","L05 - Ferskvanns-undervannseng","NA L5"
24,"L","L06","L06 - Gjøl-bunn på fast torv","NA L6"
25,"L","L07","L07 - Innsjøbunn av dy og gytje","NA L7"
26,"L","L08","L08 - Innsjøbunn av grovt organisk materiale","NA L8"
27,"L","L09","L09 - Innsjøbunn preget av oksygenmangel","NA L9"
28,"L","L10","L10 - Arktisk permafrost-innsjøbunn","NA L10"
29,"L","L11","L11 - Ny innsjøbunn","NA L11"
30,"L","L12","L12 - Semi-naturlig eutrof innsjøbunn","NA L12"
