pid,_id,language_id,key,value
1,elementary_segment_AS.0,en,<class>,not the salt enrichment
2,elementary_segment_AS.0,en,<description>,soil without salt enrichment in the upper layers; dominant water flow downwards (or soil that is too coarse and sand-dominated for the capillary forces to be able to pull salts up to the surface)
3,elementary_segment_AS.0,en,pH,"< 8,5"
4,elementary_segment_AS.0,nb,<class>,ikke­ sal­tan­ri­ket
5,elementary_segment_AS.0,nb,<description>,jords­monn u­ten sal­tan­ri­king i øv­re ­sjik­t; ­do­mi­ne­ren­de ­vann­strøm nedad­gå­en­de (el­ler jord som er ­for ­grov og sand­do­mi­ner­t ­til at ka­pil­lær­kref­te­ne kla­rer å trek­ke sal­ter opp ­mot ­over­fla­ta)
6,elementary_segment_AS.0,nb,pH,"< 8,5"
7,elementary_segment_AS.a,en,<class>,salt enrichment
8,elementary_segment_AS.a,en,<description>,soil with salt enrichment in the upper layer as a result of an upward dominant water flow.
9,elementary_segment_AS.a,en,pH,8.5–10.5
10,elementary_segment_AS.a,nb,<class>,sal­tan­ri­ket
11,elementary_segment_AS.a,nb,<description>,jords­monn ­med sal­tan­ri­king i øv­re ­sjik­t som ­føl­ge av en oppad­gå­en­de ­do­mi­ne­ren­de ­vann­strøm.
12,elementary_segment_AS.a,nb,pH,"8,5–10,5"
13,elementary_segment_BK.0,en,<class>,normal
14,elementary_segment_BK.0,en,<description>,rocks that do not fall into any of the classes below
15,elementary_segment_BK.0,nb,<class>,nor­mal
16,elementary_segment_BK.0,nb,<description>,berg­ar­ter som ik­ke ­fal­ler inn i ­no­en av ­klas­se­ne ­neden­for
17,elementary_segment_BK.a,en,<class>,ultramafic
18,elementary_segment_BK.a,en,<description>,"ultramafic bedrock (peridotites; dunites, olivine rocks), including new seabed formed by solidification of effluent from hot ocean sources"
19,elementary_segment_BK.a,nb,<class>,ul­trama­fisk
20,elementary_segment_BK.a,nb,<description>,"ul­trama­fisk ­berg­grunn (­peri­do­tit­ter; d­u­nit­ter, o­li­v­in­stein), in­klu­der­t ­ny hav­bunn ­dan­net ved­ størk­ning av ­ut­strøm­mings­ma­te­ria­le ­fra var­me hav­kil­der"
21,elementary_segment_BK.b,en,<class>,iron-rich
22,elementary_segment_BK.b,en,<description>,"acidic bedrock rich in sulphide minerals, typically with a high content of iron"
23,elementary_segment_BK.b,nb,<class>,jern-rikt
24,elementary_segment_BK.b,nb,<description>,"sur ­berg­grunn rik på kis­berg­ar­ter (­sul­fid­mi­ne­ra­ler), ­ty­pisk ­med høyt ­inn­hold av jern"
25,elementary_segment_BK.c,en,<class>,copper-rich
26,elementary_segment_BK.c,en,<description>,"less acidic bedrock rich in sulfide minerals, typically with a high content of copper"
27,elementary_segment_BK.c,nb,<class>,kob­ber-rikt
28,elementary_segment_BK.c,nb,<description>,"mindre sur ­berg­grunn rik på kis­berg­ar­ter (­sul­fid­mi­ne­ra­ler), ­ty­pisk ­med høyt ­inn­hold av kob­ber"
29,elementary_segment_BK.d,en,<class>,lava
30,elementary_segment_BK.d,en,<description>,"lava field more or less intact deposits of lava, tephra and slag"
31,elementary_segment_BK.d,nb,<class>,lava
32,elementary_segment_BK.d,nb,<description>,"lava­mar­k ­mer el­ler ­mindre in­tak­te av­set­nin­ger av la­va, te­fra og slagg"
33,elementary_segment_DD.0,en,<class>,lower sublitoral
34,elementary_segment_DD.0,en,<description>,Atlantic water in the lower sublitoral
35,elementary_segment_DD.0,en,Depth,<700m
36,elementary_segment_DD.0,nb,<class>,ned­re ­sub­li­to­ral
37,elementary_segment_DD.0,nb,<description>,at­lan­tisk ­vann i ­ned­re ­sub­li­to­ral
38,elementary_segment_DD.0,nb,Dyb­de,<700m
39,elementary_segment_DD.a,en,<class>,bathypelagic
40,elementary_segment_DD.a,en,<description>,Atlantic waters in bathypelagic and bathyal
41,elementary_segment_DD.a,en,Depth,>700m
42,elementary_segment_DD.a,nb,<class>,bat­hype­la­gial
43,elementary_segment_DD.a,nb,<description>,at­lan­tisk ­vann i ­bat­hype­la­gial og ­bat­hyal
44,elementary_segment_DD.a,nb,Dyb­de,>700m
45,elementary_segment_DL.+,en,<class>,lower aphotic belts
46,elementary_segment_DL.+,en,<description>,the light attenuation is so strong that plants are missing [‘depth gradient’ continues as DM]
47,elementary_segment_DL.+,en,Depth,>80m
48,elementary_segment_DL.+,en,The Marine Life Information Network,offshore circalitoral
49,elementary_segment_DL.+,nb,<class>,ned­re a­fo­tis­ke ­bel­ter
50,elementary_segment_DL.+,nb,<description>,lys­svek­kin­gen er så s­ter­k at plan­ter ­mang­ler [‘­dybde­gra­di­en­ten’ ­fort­set­ter som D­M]
51,elementary_segment_DL.+,nb,Dyb­de,>80m
52,elementary_segment_DL.+,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,off­shore­ cir­ca­li­to­ral
53,elementary_segment_DL.0,en,<class>,the tidal belt
54,elementary_segment_DL.0,en,<description>,in periods exposed to direct light
55,elementary_segment_DL.0,en,Depth,-
56,elementary_segment_DL.0,en,The Marine Life Information Network,eulitoral
57,elementary_segment_DL.0,nb,<class>,tide­vanns­bel­tet
58,elementary_segment_DL.0,nb,<description>,i ­pe­rio­der ­eks­po­ner­t ­for ­di­rek­te lys
59,elementary_segment_DL.0,nb,Dyb­de,-
60,elementary_segment_DL.0,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,eu­li­to­ral
61,elementary_segment_DL.a,en,<class>,seafront belt
62,elementary_segment_DL.a,en,<description>,"around and just below lower astronomical spring targets, light not production limiting"
63,elementary_segment_DL.a,en,Depth,0-3m
64,elementary_segment_DL.a,en,The Marine Life Information Network,sublitoral fringe
65,elementary_segment_DL.a,nb,<class>,sjø­kan­t-­bel­tet
66,elementary_segment_DL.a,nb,<description>,"om­kring og ­li­ke un­der ­ned­re ast­ro­no­mis­ke ­fjære­mål, lys ik­ke ­pro­duk­sjons­be­gren­sen­de"
67,elementary_segment_DL.a,nb,Dyb­de,0-3m
68,elementary_segment_DL.a,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,sub­li­to­ral f­rin­ge
69,elementary_segment_DL.b,en,<class>,vascular plant and kelp forest belt
70,elementary_segment_DL.b,en,<description>,production of organic matter greater than decomposition (respiration); the light also contains long-wave red rays that are absorbed in relatively shallow water; long-wave light occurs in such large quantities that even vascular plants can live upper infralitoral
71,elementary_segment_DL.b,en,Depth,3-8m
72,elementary_segment_DL.b,en,The Marine Life Information Network,upper infralitoral
73,elementary_segment_DL.b,nb,<class>,kar­plan­te- og tare­skogs­bel­tet
74,elementary_segment_DL.b,nb,<description>,pro­duk­sjon av ­or­ga­nisk ­ma­te­ria­le ­stør­re enn ­ned­bryt­nin­gen (re­spi­ra­sjo­nen); ly­set inne­hol­der ogs­å lang­bølge­te rø­de strå­ler som ab­sor­be­res på re­la­tiv­t ­grun­t ­vann; lang­bøl­get lys ­fore­kom­mer i så sto­re ­meng­der at ogs­å kar­plan­ter kan ­le­ve
75,elementary_segment_DL.b,nb,Dyb­de,3-8m
76,elementary_segment_DL.b,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,up­per in­fra­li­to­ral
77,elementary_segment_DL.c,en,<class>,the kelp forest belt
78,elementary_segment_DL.c,en,<description>,"production still greater than decomposition, but long-wave radiation is limited; brown and green algae (in freshwater also bogs) can still dominate"
79,elementary_segment_DL.c,en,Depth,8-13m
80,elementary_segment_DL.c,en,The Marine Life Information Network,lower infralitoral
81,elementary_segment_DL.c,nb,<class>,tare­skog­bel­tet
82,elementary_segment_DL.c,nb,<description>,"pro­duk­sjon ­fort­satt ­stør­re enn ­ned­bryt­nin­gen, ­men lang­bøl­get strå­ling er ­be­gren­set; ­brun- og ­grønn­al­ger (i ­fersk­vann ogs­å ­mo­ser) kan ­fort­satt ­do­mi­ne­re"
83,elementary_segment_DL.c,nb,Depth,8-13m
84,elementary_segment_DL.c,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,low­er in­fra­li­to­ral
85,elementary_segment_DL.d,en,<class>,the red algae belt
86,elementary_segment_DL.d,en,<description>,"production still greater than the decomposition, but the light is dominated by short-wave rays (including green) and the algae vegetation is therefore limited to red algae but leaf-shaped red algae can dominate"
87,elementary_segment_DL.d,en,Depth,13-30m
88,elementary_segment_DL.d,en,The Marine Life Information Network,upper circalitoral
89,elementary_segment_DL.d,nb,<class>,rø­dalge­bel­tet
90,elementary_segment_DL.d,nb,<description>,"pro­duk­sjon ­fort­satt ­stør­re enn ­ned­bryt­nin­gen, ­men ly­set er ­do­mi­ner­t av kort­bølge­te strå­ler (bl.a. ­grøn­ne) og alge­ve­ge­ta­sjo­nen ­be­gren­ser ­seg ­der­for ­til rø­dal­ger ­men ­blad­for­me­te rø­dal­ger kan ­do­mi­ne­re"
91,elementary_segment_DL.d,nb,Dyb­de,13-30m
92,elementary_segment_DL.d,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,up­per cir­ca­li­to­ral
93,elementary_segment_DL.e,en,<class>,upper aphotic belt
94,elementary_segment_DL.e,en,<description>,"production of organic material less than decomposition (respiration), light radiation <0.3–1 (–10)% of the radiation at the water surface; only scattered occurrence of algae"
95,elementary_segment_DL.e,en,Depth,30-80m
96,elementary_segment_DL.e,en,The Marine Life Information Network,lower circalitoral
97,elementary_segment_DL.e,nb,<class>,up­per ap­ho­tic ­belt
98,elementary_segment_DL.e,nb,<description>,"pro­duk­sjon av ­or­ga­nisk ­ma­te­ria­le ­mindre enn ­ned­bryt­nin­gen (re­spi­ra­sjo­nen), lysinn­strå­ling < 0.3–1(–10) % av strå­lin­gen ved­ ­vann­over­fla­ta­; ­ba­re spred­t ­fore­komst av al­ger"
99,elementary_segment_DL.e,nb,Dyb­de,30-80m
100,elementary_segment_DL.e,nb,The ­Ma­ri­ne ­Li­fe In­for­ma­tion ­Network,low­er cir­ca­li­to­ral
101,elementary_segment_DM.0,en,<class>,upper sublitoral (epipelagial)
102,elementary_segment_DM.0,en,<description>,"great environmental variability; euphotic and upper aphotic belt, typically connected to the coast and coastal bodies of water [sublitoral belt; down to approx. 200 m]"
103,elementary_segment_DM.0,en,Depth,<200m
104,elementary_segment_DM.0,en,Temperature,variable
105,elementary_segment_DM.0,nb,<class>,øv­re ­sub­li­to­ral (e­pipe­la­gial)
