,pid,_id,elementarySegmentGroup_id,majorTypeLEC_id
0,1,KA.ab/UF.a/KI.0a,KA.ab,T4-KA
1,2,KA.ab/UF.a/KI.0a,UF.a,T4-UF
2,3,KA.ab/UF.a/KI.0a,KI.0a,T4-KI
3,4,KA.c/UF.a/KI.0a,KA.c,T4-KA
4,5,KA.c/UF.a/KI.0a,UF.a,T4-UF
5,6,KA.c/UF.a/KI.0a,KI.0a,T4-KI
6,7,KA.d/UF.a/KI.0a,KA.d,T4-KA
7,8,KA.d/UF.a/KI.0a,UF.a,T4-UF
8,9,KA.d/UF.a/KI.0a,KI.0a,T4-KI
9,10,KA.e/UF.a/KI.0a,KA.e,T4-KA
10,11,KA.e/UF.a/KI.0a,UF.a,T4-UF
11,12,KA.e/UF.a/KI.0a,KI.0a,T4-KI
12,13,KA.f/UF.a/KI.0a,KA.f,T4-KA
13,14,KA.f/UF.a/KI.0a,UF.a,T4-UF
14,15,KA.f/UF.a/KI.0a,KI.0a,T4-KI
15,16,KA.g/UF.a/KI.0a,KA.g,T4-KA
16,17,KA.g/UF.a/KI.0a,UF.a,T4-UF
17,18,KA.g/UF.a/KI.0a,KI.0a,T4-KI
18,19,KA.h/UF.a/KI.0a,KA.h,T4-KA
19,20,KA.h/UF.a/KI.0a,UF.a,T4-UF
20,21,KA.h/UF.a/KI.0a,KI.0a,T4-KI
21,22,KA.i/UF.a/KI.0a,KA.i,T4-KA
22,23,KA.i/UF.a/KI.0a,UF.a,T4-UF
23,24,KA.i/UF.a/KI.0a,KI.0a,T4-KI
24,25,KA.ab/UF.b/KI.0a,KA.ab,T4-KA
25,26,KA.ab/UF.b/KI.0a,UF.b,T4-UF
26,27,KA.ab/UF.b/KI.0a,KI.0a,T4-KI
27,28,KA.c/UF.b/KI.0a,KA.c,T4-KA
28,29,KA.c/UF.b/KI.0a,UF.b,T4-UF
29,30,KA.c/UF.b/KI.0a,KI.0a,T4-KI
30,31,KA.d/UF.b/KI.0a,KA.d,T4-KA
31,32,KA.d/UF.b/KI.0a,UF.b,T4-UF
32,33,KA.d/UF.b/KI.0a,KI.0a,T4-KI
33,34,KA.e/UF.b/KI.0a,KA.e,T4-KA
34,35,KA.e/UF.b/KI.0a,UF.b,T4-UF
35,36,KA.e/UF.b/KI.0a,KI.0a,T4-KI
36,37,KA.f/UF.b/KI.0a,KA.f,T4-KA
37,38,KA.f/UF.b/KI.0a,UF.b,T4-UF
38,39,KA.f/UF.b/KI.0a,KI.0a,T4-KI
39,40,KA.g/UF.b/KI.0a,KA.g,T4-KA
40,41,KA.g/UF.b/KI.0a,UF.b,T4-UF
41,42,KA.g/UF.b/KI.0a,KI.0a,T4-KI
42,43,KA.h/UF.b/KI.0a,KA.h,T4-KA
43,44,KA.h/UF.b/KI.0a,UF.b,T4-UF
44,45,KA.h/UF.b/KI.0a,KI.0a,T4-KI
45,46,KA.i/UF.b/KI.0a,KA.i,T4-KA
46,47,KA.i/UF.b/KI.0a,UF.b,T4-UF
47,48,KA.i/UF.b/KI.0a,KI.0a,T4-KI
48,49,KA.ab/UF.c/KI.0a,KA.ab,T4-KA
49,50,KA.ab/UF.c/KI.0a,UF.c,T4-UF
50,51,KA.ab/UF.c/KI.0a,KI.0a,T4-KI
51,52,KA.c/UF.c/KI.0a,KA.c,T4-KA
52,53,KA.c/UF.c/KI.0a,UF.c,T4-UF
53,54,KA.c/UF.c/KI.0a,KI.0a,T4-KI
54,55,KA.d/UF.c/KI.0a,KA.d,T4-KA
55,56,KA.d/UF.c/KI.0a,UF.c,T4-UF
56,57,KA.d/UF.c/KI.0a,KI.0a,T4-KI
57,58,KA.e/UF.c/KI.0a,KA.e,T4-KA
58,59,KA.e/UF.c/KI.0a,UF.c,T4-UF
59,60,KA.e/UF.c/KI.0a,KI.0a,T4-KI
60,61,KA.f/UF.c/KI.0a,KA.f,T4-KA
61,62,KA.f/UF.c/KI.0a,UF.c,T4-UF
62,63,KA.f/UF.c/KI.0a,KI.0a,T4-KI
63,64,KA.g/UF.c/KI.0a,KA.g,T4-KA
64,65,KA.g/UF.c/KI.0a,UF.c,T4-UF
65,66,KA.g/UF.c/KI.0a,KI.0a,T4-KI
66,67,KA.h/UF.c/KI.0a,KA.h,T4-KA
67,68,KA.h/UF.c/KI.0a,UF.c,T4-UF
68,69,KA.h/UF.c/KI.0a,KI.0a,T4-KI
69,70,KA.i/UF.c/KI.0a,KA.i,T4-KA
70,71,KA.i/UF.c/KI.0a,UF.c,T4-UF
71,72,KA.i/UF.c/KI.0a,KI.0a,T4-KI
72,73,KA.ab/UF.d/KI.0a,KA.ab,T4-KA
73,74,KA.ab/UF.d/KI.0a,UF.d,T4-UF
74,75,KA.ab/UF.d/KI.0a,KI.0a,T4-KI
75,76,KA.c/UF.d/KI.0a,KA.c,T4-KA
76,77,KA.c/UF.d/KI.0a,UF.d,T4-UF
77,78,KA.c/UF.d/KI.0a,KI.0a,T4-KI
78,79,KA.d/UF.d/KI.0a,KA.d,T4-KA
79,80,KA.d/UF.d/KI.0a,UF.d,T4-UF
80,81,KA.d/UF.d/KI.0a,KI.0a,T4-KI
81,82,KA.e/UF.d/KI.0a,KA.e,T4-KA
82,83,KA.e/UF.d/KI.0a,UF.d,T4-UF
83,84,KA.e/UF.d/KI.0a,KI.0a,T4-KI
84,85,KA.f/UF.d/KI.0a,KA.f,T4-KA
85,86,KA.f/UF.d/KI.0a,UF.d,T4-UF
86,87,KA.f/UF.d/KI.0a,KI.0a,T4-KI
87,88,KA.g/UF.d/KI.0a,KA.g,T4-KA
88,89,KA.g/UF.d/KI.0a,UF.d,T4-UF
89,90,KA.g/UF.d/KI.0a,KI.0a,T4-KI
90,91,KA.h/UF.d/KI.0a,KA.h,T4-KA
91,92,KA.h/UF.d/KI.0a,UF.d,T4-UF
92,93,KA.h/UF.d/KI.0a,KI.0a,T4-KI
93,94,KA.i/UF.d/KI.0a,KA.i,T4-KA
94,95,KA.i/UF.d/KI.0a,UF.d,T4-UF
95,96,KA.i/UF.d/KI.0a,KI.0a,T4-KI
96,97,KA.ab/UF.e/KI.0a,KA.ab,T4-KA
97,98,KA.ab/UF.e/KI.0a,UF.e,T4-UF
98,99,KA.ab/UF.e/KI.0a,KI.0a,T4-KI
99,100,KA.c/UF.e/KI.0a,KA.c,T4-KA
100,101,KA.c/UF.e/KI.0a,UF.e,T4-UF
101,102,KA.c/UF.e/KI.0a,KI.0a,T4-KI
102,103,KA.d/UF.e/KI.0a,KA.d,T4-KA
103,104,KA.d/UF.e/KI.0a,UF.e,T4-UF
104,105,KA.d/UF.e/KI.0a,KI.0a,T4-KI
105,106,KA.e/UF.e/KI.0a,KA.e,T4-KA
106,107,KA.e/UF.e/KI.0a,UF.e,T4-UF
107,108,KA.e/UF.e/KI.0a,KI.0a,T4-KI
108,109,KA.f/UF.e/KI.0a,KA.f,T4-KA
109,110,KA.f/UF.e/KI.0a,UF.e,T4-UF
110,111,KA.f/UF.e/KI.0a,KI.0a,T4-KI
111,112,KA.g/UF.e/KI.0a,KA.g,T4-KA
112,113,KA.g/UF.e/KI.0a,UF.e,T4-UF
113,114,KA.g/UF.e/KI.0a,KI.0a,T4-KI
114,115,KA.h/UF.e/KI.0a,KA.h,T4-KA
115,116,KA.h/UF.e/KI.0a,UF.e,T4-UF
116,117,KA.h/UF.e/KI.0a,KI.0a,T4-KI
117,118,KA.i/UF.e/KI.0a,KA.i,T4-KA
118,119,KA.i/UF.e/KI.0a,UF.e,T4-UF
119,120,KA.i/UF.e/KI.0a,KI.0a,T4-KI
120,121,KA.ab/UF.f/KI.0a,KA.ab,T4-KA
121,122,KA.ab/UF.f/KI.0a,UF.f,T4-UF
122,123,KA.ab/UF.f/KI.0a,KI.0a,T4-KI
123,124,KA.c/UF.f/KI.0a,KA.c,T4-KA
124,125,KA.c/UF.f/KI.0a,UF.f,T4-UF
125,126,KA.c/UF.f/KI.0a,KI.0a,T4-KI
126,127,KA.d/UF.f/KI.0a,KA.d,T4-KA
127,128,KA.d/UF.f/KI.0a,UF.f,T4-UF
128,129,KA.d/UF.f/KI.0a,KI.0a,T4-KI
129,130,KA.e/UF.f/KI.0a,KA.e,T4-KA
130,131,KA.e/UF.f/KI.0a,UF.f,T4-UF
131,132,KA.e/UF.f/KI.0a,KI.0a,T4-KI
132,133,KA.f/UF.f/KI.0a,KA.f,T4-KA
133,134,KA.f/UF.f/KI.0a,UF.f,T4-UF
134,135,KA.f/UF.f/KI.0a,KI.0a,T4-KI
135,136,KA.g/UF.f/KI.0a,KA.g,T4-KA
136,137,KA.g/UF.f/KI.0a,UF.f,T4-UF
137,138,KA.g/UF.f/KI.0a,KI.0a,T4-KI
138,139,KA.h/UF.f/KI.0a,KA.h,T4-KA
139,140,KA.h/UF.f/KI.0a,UF.f,T4-UF
140,141,KA.h/UF.f/KI.0a,KI.0a,T4-KI
141,142,KA.i/UF.f/KI.0a,KA.i,T4-KA
142,143,KA.i/UF.f/KI.0a,UF.f,T4-UF
143,144,KA.i/UF.f/KI.0a,KI.0a,T4-KI
144,145,KA.ab/UF.g/KI.0a,KA.ab,T4-KA
145,146,KA.ab/UF.g/KI.0a,UF.g,T4-UF
146,147,KA.ab/UF.g/KI.0a,KI.0a,T4-KI
147,148,KA.c/UF.g/KI.0a,KA.c,T4-KA
148,149,KA.c/UF.g/KI.0a,UF.g,T4-UF
149,150,KA.c/UF.g/KI.0a,KI.0a,T4-KI
150,151,KA.d/UF.g/KI.0a,KA.d,T4-KA
151,152,KA.d/UF.g/KI.0a,UF.g,T4-UF
152,153,KA.d/UF.g/KI.0a,KI.0a,T4-KI
153,154,KA.e/UF.g/KI.0a,KA.e,T4-KA
154,155,KA.e/UF.g/KI.0a,UF.g,T4-UF
155,156,KA.e/UF.g/KI.0a,KI.0a,T4-KI
156,157,KA.f/UF.g/KI.0a,KA.f,T4-KA
157,158,KA.f/UF.g/KI.0a,UF.g,T4-UF
158,159,KA.f/UF.g/KI.0a,KI.0a,T4-KI
159,160,KA.g/UF.g/KI.0a,KA.g,T4-KA
160,161,KA.g/UF.g/KI.0a,UF.g,T4-UF
161,162,KA.g/UF.g/KI.0a,KI.0a,T4-KI
162,163,KA.h/UF.g/KI.0a,KA.h,T4-KA
163,164,KA.h/UF.g/KI.0a,UF.g,T4-UF
164,165,KA.h/UF.g/KI.0a,KI.0a,T4-KI
165,166,KA.i/UF.g/KI.0a,KA.i,T4-KA
166,167,KA.i/UF.g/KI.0a,UF.g,T4-UF
167,168,KA.i/UF.g/KI.0a,KI.0a,T4-KI
168,169,KA.ab/UF.h/KI.0a,KA.ab,T4-KA
169,170,KA.ab/UF.h/KI.0a,UF.h,T4-UF
170,171,KA.ab/UF.h/KI.0a,KI.0a,T4-KI
171,172,KA.c/UF.h/KI.0a,KA.c,T4-KA
172,173,KA.c/UF.h/KI.0a,UF.h,T4-UF
173,174,KA.c/UF.h/KI.0a,KI.0a,T4-KI
174,175,KA.d/UF.h/KI.0a,KA.d,T4-KA
175,176,KA.d/UF.h/KI.0a,UF.h,T4-UF
176,177,KA.d/UF.h/KI.0a,KI.0a,T4-KI
177,178,KA.e/UF.h/KI.0a,KA.e,T4-KA
178,179,KA.e/UF.h/KI.0a,UF.h,T4-UF
179,180,KA.e/UF.h/KI.0a,KI.0a,T4-KI
180,181,KA.f/UF.h/KI.0a,KA.f,T4-KA
181,182,KA.f/UF.h/KI.0a,UF.h,T4-UF
182,183,KA.f/UF.h/KI.0a,KI.0a,T4-KI
183,184,KA.g/UF.h/KI.0a,KA.g,T4-KA
184,185,KA.g/UF.h/KI.0a,UF.h,T4-UF
185,186,KA.g/UF.h/KI.0a,KI.0a,T4-KI
186,187,KA.h/UF.h/KI.0a,KA.h,T4-KA
187,188,KA.h/UF.h/KI.0a,UF.h,T4-UF
188,189,KA.h/UF.h/KI.0a,KI.0a,T4-KI
189,190,KA.i/UF.h/KI.0a,KA.i,T4-KA
190,191,KA.i/UF.h/KI.0a,UF.h,T4-UF
191,192,KA.i/UF.h/KI.0a,KI.0a,T4-KI
192,193,KA.d/UF.a/KI.bc,KA.d,T4-KA
193,194,KA.d/UF.a/KI.bc,UF.a,T4-UF
194,195,KA.d/UF.a/KI.bc,KI.bc,T4-KI
195,196,KA.d/UF.b/KI.bc,KA.d,T4-KA
196,197,KA.d/UF.b/KI.bc,UF.b,T4-UF
197,198,KA.d/UF.b/KI.bc,KI.bc,T4-KI
198,199,KA.e/UF.a/KI.bc,KA.e,T4-KA
199,200,KA.e/UF.a/KI.bc,UF.a,T4-UF
200,201,KA.e/UF.a/KI.bc,KI.bc,T4-KI
201,202,KA.e/UF.b/KI.bc,KA.e,T4-KA
202,203,KA.e/UF.b/KI.bc,UF.b,T4-UF
203,204,KA.e/UF.b/KI.bc,KI.bc,T4-KI
204,205,KA.f/UF.a/KI.bc,KA.f,T4-KA
205,206,KA.f/UF.a/KI.bc,UF.a,T4-UF
206,207,KA.f/UF.a/KI.bc,KI.bc,T4-KI
207,208,KA.f/UF.b/KI.bc,KA.f,T4-KA
208,209,KA.f/UF.b/KI.bc,UF.b,T4-UF
209,210,KA.f/UF.b/KI.bc,KI.bc,T4-KI
210,211,KA.g/UF.a/KI.bc,KA.g,T4-KA
211,212,KA.g/UF.a/KI.bc,UF.a,T4-UF
212,213,KA.g/UF.a/KI.bc,KI.bc,T4-KI
213,214,KA.g/UF.b/KI.bc,KA.g,T4-KA
214,215,KA.g/UF.b/KI.bc,UF.b,T4-UF
215,216,KA.g/UF.b/KI.bc,KI.bc,T4-KI
216,217,KA.h/UF.a/KI.bc,KA.h,T4-KA
217,218,KA.h/UF.a/KI.bc,UF.a,T4-UF
218,219,KA.h/UF.a/KI.bc,KI.bc,T4-KI
219,220,KA.h/UF.b/KI.bc,KA.h,T4-KA
220,221,KA.h/UF.b/KI.bc,UF.b,T4-UF
221,222,KA.h/UF.b/KI.bc,KI.bc,T4-KI
222,223,KA.i/UF.a/KI.bc,KA.i,T4-KA
223,224,KA.i/UF.a/KI.bc,UF.a,T4-UF
224,225,KA.i/UF.a/KI.bc,KI.bc,T4-KI
225,226,KA.i/UF.b/KI.bc,KA.i,T4-KA
226,227,KA.i/UF.b/KI.bc,UF.b,T4-UF
227,228,KA.i/UF.b/KI.bc,KI.bc,T4-KI
228,229,KA.h/UF.c/KI.bc,KA.h,T4-KA
