pid,elementarySegmentGroup_id,lec_id,value,detail_id
1,AS.0,AS,0,elementary_segment_AS.0
2,AS.a,AS,a,elementary_segment_AS.a
3,BK.0,BK,0,elementary_segment_BK.0
4,BK.a,BK,a,elementary_segment_BK.a
5,BK.b,BK,b,elementary_segment_BK.b
6,BK.c,BK,c,elementary_segment_BK.c
7,BK.d,BK,d,elementary_segment_BK.d
8,DD.0,DD,0,elementary_segment_DD.0
9,DD.a,DD,a,elementary_segment_DD.a
10,DL.0,DL,0,elementary_segment_DL.0
11,DL.a,DL,a,elementary_segment_DL.a
12,DL.b,DL,b,elementary_segment_DL.b
13,DL.c,DL,c,elementary_segment_DL.c
14,DL.d,DL,d,elementary_segment_DL.d
15,DL.e,DL,e,elementary_segment_DL.e
16,DL.+,DL,+,elementary_segment_DL.+
17,DM.0,DM,0,elementary_segment_DM.0
18,DM.a,DM,a,elementary_segment_DM.a
19,DM.b,DM,b,elementary_segment_DM.b
20,DM.cd,DM,cd,elementary_segment_DM.cd
21,DM.ef,DM,ef,elementary_segment_DM.ef
22,ER.0,ER,0,elementary_segment_ER.0
23,ER.a,ER,a,elementary_segment_ER.a
24,ER.b,ER,b,elementary_segment_ER.b
25,ER.¤,ER,¤,elementary_segment_ER.¤
26,FK.0,FK,0,elementary_segment_FK.0
27,FK.a,FK,a,elementary_segment_FK.a
28,FK.b,FK,b,elementary_segment_FK.b
29,FK.c,FK,c,elementary_segment_FK.c
30,FK.d,FK,d,elementary_segment_FK.d
31,FK.e,FK,e,elementary_segment_FK.e
32,FR.0,FR,0,elementary_segment_FR.0
33,FR.a,FR,a,elementary_segment_FR.a
34,GS.0,GS,0,elementary_segment_GS.0
35,GS.a,GS,a,elementary_segment_GS.a
36,GS.b,GS,b,elementary_segment_GS.b
37,GS.cd,GS,cd,elementary_segment_GS.cd
38,GS.¤,GS,¤,elementary_segment_GS.¤
39,HF.0,HF,0,elementary_segment_HF.0
40,HF.a,HF,a,elementary_segment_HF.a
41,HF.b,HF,b,elementary_segment_HF.b
42,HF.+,HF,+,elementary_segment_HF.+
43,HI.0,HI,0,elementary_segment_HI.0
44,HI.a,HI,a,elementary_segment_HI.a
45,HI.b,HI,b,elementary_segment_HI.b
46,HI.cd,HI,cd,elementary_segment_HI.cd
47,HI.e,HI,e,elementary_segment_HI.e
48,HI.fg,HI,fg,elementary_segment_HI.fg
49,HI.hi,HI,hi,elementary_segment_HI.hi
50,HI.j,HI,j,elementary_segment_HI.j
51,HR.0,HR,0,elementary_segment_HR.0
52,HR.a,HR,a,elementary_segment_HR.a
53,HU.0,HU,0,elementary_segment_HU.0
54,HU.a,HU,a,elementary_segment_HU.a
55,HU.b,HU,b,elementary_segment_HU.b
56,HU.c,HU,c,elementary_segment_HU.c
57,HU.d,HU,d,elementary_segment_HU.d
