,pid,majorTypeLEC_id,majorType_id,lec_id,species_id,value
0,1,T4-VM,T4,VM,69027,-1
1,2,T4-VM,T4,VM,69033,-2
2,3,T4-VM,T4,VM,69044,-1
3,4,T4-VM,T4,VM,69060,-1
4,5,T4-VM,T4,VM,69061,-1
5,6,T4-VM,T4,VM,69064,-1
6,7,T4-VM,T4,VM,69071,-2
7,8,T4-VM,T4,VM,69075,-1
8,9,T4-VM,T4,VM,69078,-1
9,10,T4-VM,T4,VM,69085,-1
10,11,T4-VM,T4,VM,69088,-1
11,12,T4-VM,T4,VM,69091,-1
12,13,T4-VM,T4,VM,69096,-1
13,14,T4-VM,T4,VM,69101,-1
14,15,T4-VM,T4,VM,69116,-1
15,16,T4-VM,T4,VM,69120,-1
16,17,T4-VM,T4,VM,69123,-2
17,18,T4-VM,T4,VM,69131,-1
18,19,T4-VM,T4,VM,69175,-1
19,20,T4-VM,T4,VM,69228,-1
20,21,T4-VM,T4,VM,69261,-2
21,22,T4-VM,T4,VM,69297,-2
22,23,T4-VM,T4,VM,69328,-1
23,24,T4-VM,T4,VM,69343,-1
24,25,T4-VM,T4,VM,69358,-1
25,26,T4-VM,T4,VM,71602,-1
26,27,T4-VM,T4,VM,71604,-1
27,28,T4-VM,T4,VM,71719,-1
28,29,T4-VM,T4,VM,71720,-2
29,30,T4-VM,T4,VM,75320,-1
30,31,T4-RU,T4,RU,75320,1
31,32,T4-VM,T4,VM,75321,-1
32,33,T4-RU,T4,RU,75321,1
33,34,T4-VM,T4,VM,75408,-2
34,35,T4-RU,T4,RU,75408,1
35,36,T4-VM,T4,VM,78432,-1
36,37,T4-VM,T4,VM,78461,-1
37,38,T4-VM,T4,VM,78464,-1
38,39,T4-VM,T4,VM,78469,-1
39,40,T4-VM,T4,VM,78478,-1
40,41,T4-VM,T4,VM,78486,-1
41,42,T4-VM,T4,VM,78488,-1
42,43,T4-VM,T4,VM,78490,-1
43,44,T4-VM,T4,VM,78498,-1
44,45,T4-VM,T4,VM,78500,-1
