,pid,elementarySegmentCombination_id,species_id,majorType_id,valueM7Scale_id,valueM3Scale_id
0,1,KA.ab/UF.a/KI.0a,69027,T-4,0,
1,2,KA.c/UF.a/KI.0a,69027,T-4,0,
2,3,KA.d/UF.a/KI.0a,69027,T-4,0,
3,4,KA.e/UF.a/KI.0a,69027,T-4,0,
4,5,KA.f/UF.a/KI.0a,69027,T-4,0,
5,6,KA.g/UF.a/KI.0a,69027,T-4,0,
6,7,KA.h/UF.a/KI.0a,69027,T-4,0,
7,8,KA.i/UF.a/KI.0a,69027,T-4,0,
8,9,KA.ab/UF.b/KI.0a,69027,T-4,0,
9,10,KA.c/UF.b/KI.0a,69027,T-4,0,
10,11,KA.d/UF.b/KI.0a,69027,T-4,0,
11,12,KA.e/UF.b/KI.0a,69027,T-4,0,
12,13,KA.f/UF.b/KI.0a,69027,T-4,0,
13,14,KA.g/UF.b/KI.0a,69027,T-4,0,
14,15,KA.h/UF.b/KI.0a,69027,T-4,0,
15,16,KA.i/UF.b/KI.0a,69027,T-4,0,
16,17,KA.ab/UF.c/KI.0a,69027,T-4,0,
17,18,KA.c/UF.c/KI.0a,69027,T-4,0,
18,19,KA.d/UF.c/KI.0a,69027,T-4,0,
19,20,KA.e/UF.c/KI.0a,69027,T-4,0,
20,21,KA.f/UF.c/KI.0a,69027,T-4,0,
21,22,KA.g/UF.c/KI.0a,69027,T-4,0,
22,23,KA.h/UF.c/KI.0a,69027,T-4,0,
23,24,KA.i/UF.c/KI.0a,69027,T-4,0,
24,25,KA.ab/UF.d/KI.0a,69027,T-4,0,
25,26,KA.c/UF.d/KI.0a,69027,T-4,0,
26,27,KA.d/UF.d/KI.0a,69027,T-4,0,
27,28,KA.e/UF.d/KI.0a,69027,T-4,0,
28,29,KA.f/UF.d/KI.0a,69027,T-4,0,
29,30,KA.g/UF.d/KI.0a,69027,T-4,0,
30,31,KA.h/UF.d/KI.0a,69027,T-4,0,
31,32,KA.i/UF.d/KI.0a,69027,T-4,0,
32,33,KA.ab/UF.e/KI.0a,69027,T-4,0,
33,34,KA.c/UF.e/KI.0a,69027,T-4,0,
34,35,KA.d/UF.e/KI.0a,69027,T-4,0,
35,36,KA.e/UF.e/KI.0a,69027,T-4,0,
36,37,KA.f/UF.e/KI.0a,69027,T-4,0,
37,38,KA.g/UF.e/KI.0a,69027,T-4,0,
38,39,KA.h/UF.e/KI.0a,69027,T-4,0,
39,40,KA.i/UF.e/KI.0a,69027,T-4,0,
40,41,KA.ab/UF.f/KI.0a,69027,T-4,1,
41,42,KA.c/UF.f/KI.0a,69027,T-4,1,
42,43,KA.d/UF.f/KI.0a,69027,T-4,0,
43,44,KA.e/UF.f/KI.0a,69027,T-4,0,
44,45,KA.f/UF.f/KI.0a,69027,T-4,0,
45,46,KA.g/UF.f/KI.0a,69027,T-4,0,
46,47,KA.h/UF.f/KI.0a,69027,T-4,0,
47,48,KA.i/UF.f/KI.0a,69027,T-4,0,
48,49,KA.ab/UF.g/KI.0a,69027,T-4,1,
49,50,KA.c/UF.g/KI.0a,69027,T-4,1,
50,51,KA.d/UF.g/KI.0a,69027,T-4,1,
51,52,KA.e/UF.g/KI.0a,69027,T-4,0,
52,53,KA.f/UF.g/KI.0a,69027,T-4,0,
53,54,KA.g/UF.g/KI.0a,69027,T-4,0,
54,55,KA.h/UF.g/KI.0a,69027,T-4,0,
55,56,KA.i/UF.g/KI.0a,69027,T-4,0,
56,57,KA.ab/UF.h/KI.0a,69027,T-4,1,
57,58,KA.c/UF.h/KI.0a,69027,T-4,1,
58,59,KA.d/UF.h/KI.0a,69027,T-4,1,
59,60,KA.e/UF.h/KI.0a,69027,T-4,0,
60,61,KA.f/UF.h/KI.0a,69027,T-4,0,
61,62,KA.g/UF.h/KI.0a,69027,T-4,0,
62,63,KA.h/UF.h/KI.0a,69027,T-4,0,
63,64,KA.i/UF.h/KI.0a,69027,T-4,0,
64,65,KA.d/UF.a/KI.bc,69027,T-4,0,
65,66,KA.d/UF.b/KI.bc,69027,T-4,0,
66,67,KA.e/UF.a/KI.bc,69027,T-4,0,
67,68,KA.e/UF.b/KI.bc,69027,T-4,0,
68,69,KA.f/UF.a/KI.bc,69027,T-4,0,
69,70,KA.f/UF.b/KI.bc,69027,T-4,0,
70,71,KA.g/UF.a/KI.bc,69027,T-4,0,
71,72,KA.g/UF.b/KI.bc,69027,T-4,0,
72,73,KA.h/UF.a/KI.bc,69027,T-4,0,
73,74,KA.h/UF.b/KI.bc,69027,T-4,0,
74,75,KA.i/UF.a/KI.bc,69027,T-4,0,
75,76,KA.i/UF.b/KI.bc,69027,T-4,0,
76,77,KA.h/UF.c/KI.bc,69027,T-4,0,
77,78,KA.i/UF.c/KI.bc,69027,T-4,0,
78,79,KA.h/UF.d/KI.bc,69027,T-4,0,
79,80,KA.i/UF.d/KI.bc,69027,T-4,0,
80,81,KA.h/UF.e/KI.bc,69027,T-4,0,
81,82,KA.i/UF.e/KI.bc,69027,T-4,0,
82,83,KA.h/UF.f/KI.bc,69027,T-4,0,
83,84,KA.i/UF.f/KI.bc,69027,T-4,0,
84,85,KA.ab/UF.a/KI.0a,69033,T-4,1,
85,86,KA.c/UF.a/KI.0a,69033,T-4,0,
86,87,KA.d/UF.a/KI.0a,69033,T-4,0,
87,88,KA.e/UF.a/KI.0a,69033,T-4,0,
88,89,KA.f/UF.a/KI.0a,69033,T-4,0,
89,90,KA.g/UF.a/KI.0a,69033,T-4,0,
90,91,KA.h/UF.a/KI.0a,69033,T-4,0,
91,92,KA.i/UF.a/KI.0a,69033,T-4,0,
92,93,KA.ab/UF.b/KI.0a,69033,T-4,1,
93,94,KA.c/UF.b/KI.0a,69033,T-4,1,
94,95,KA.d/UF.b/KI.0a,69033,T-4,1,
95,96,KA.e/UF.b/KI.0a,69033,T-4,0,
96,97,KA.f/UF.b/KI.0a,69033,T-4,0,
97,98,KA.g/UF.b/KI.0a,69033,T-4,0,
98,99,KA.h/UF.b/KI.0a,69033,T-4,0,
99,100,KA.i/UF.b/KI.0a,69033,T-4,0,
100,101,KA.ab/UF.c/KI.0a,69033,T-4,3,
101,102,KA.c/UF.c/KI.0a,69033,T-4,2,
