,pid,_id,parentLec_id,structuringProcess_id,patternOfVariation_id,knowledgeBaseRelations,knowledgeBaseDivision,spatialScale,detail_id
0,1,AS,,S,t,3.0,2.0,5.0,lec_AS
1,2,BK,,S,f,3.0,2.0,5.0,lec_BK
2,3,DD,,S,g,2.0,1.0,9.0,lec_DD
3,4,DL,,S,g,4.0,2.0,5.0,lec_DL
4,5,DM,,S,g,3.0,2.0,9.0,lec_DM
5,6,ER,,D,ga,3.0,2.0,8.0,lec_ER
6,7,FK,,S,f,4.0,1.0,10.0,lec_FK
7,8,FR,,D,f,3.0,4.0,10.0,lec_FR
8,9,GS,,S,ga,3.0,1.0,4.0,lec_GS
9,10,HF,,R,g,2.0,2.0,1.0,lec_HF
10,11,HI,,D,g,4.0,5.0,6.0,lec_HI
11,12,HR,,D,f,5.0,5.0,7.0,lec_HR
12,13,HS,,,,,,,lec_HS
13,14,HU,,S,g,3.0,2.0,10.0,lec_HU
14,15,IF,,D,ga,2.0,1.0,2.0,lec_IF
15,16,IO,,D,mf,2.0,2.0,3.0,lec_IO
16,17,JF,,D,g,2.0,4.0,3.0,lec_JF
17,18,JV,,S,ga,3.0,2.0,6.0,lec_JV
18,19,KA,,S,g,4.0,5.0,7.0,lec_KA
19,20,KI,,S,g,3.0,5.0,1.0,lec_KI
20,21,KO,,S,f,4.0,5.0,9.0,lec_KO
21,22,KT,,S,f,3.0,2.0,7.0,lec_KT
22,23,KY,,S,t,3.0,2.0,10.0,lec_KY
23,24,LA,,L,gs,3.0,2.0,6.0,lec_LA
24,25,LK,,L,f,2.0,1.0,5.0,lec_LK
25,26,MB,,D,f,4.0,3.0,6.0,lec_MB
26,27,MF,,S,g,2.0,3.0,5.0,lec_MF
27,28,MX,,D,f,4.0,3.0,7.0,lec_MX
28,29,NG,,S,ga,3.0,2.0,1.0,lec_NG
29,30,OF,,D,g,2.0,2.0,2.0,lec_OF
30,31,OM,,S,g,3.0,3.0,10.0,lec_OM
31,32,OR,,S,g,2.0,2.0,0.0,lec_OR
32,33,PF,,S,f,3.0,2.0,7.0,lec_PF
33,34,RU,,R,ga,2.0,3.0,5.0,lec_RU
34,35,S1,S3,S,mf,2.0,2.0,6.0,lec_S1
35,36,S3,,S,mf,2.0,2.0,6.0,lec_S3
36,37,S3E,S3,S,mf,2.0,2.0,6.0,lec_S3E
37,38,S3F,S3,S,mf,2.0,2.0,6.0,lec_S3F
38,39,S3S,S3,S,mf,2.0,2.0,6.0,lec_S3S
39,40,SA,,S,g,4.0,4.0,4.0,lec_SA
40,41,SE,,D,ga,2.0,1.0,6.0,lec_SE
41,42,SF,,S,ga,4.0,3.0,2.0,lec_SF
42,43,SH,,R,f,3.0,2.0,8.0,lec_SH
43,44,SM,,R,ga,2.0,1.0,10.0,lec_SM
44,45,SP,,R,t,3.0,4.0,6.0,lec_SP
45,46,SS,,D,gs,4.0,2.0,3.0,lec_SS
46,47,SU,,D,ga,2.0,3.0,4.0,lec_SU
47,48,SV,,S,ga,4.0,5.0,4.0,lec_SV
48,49,SX,,D,f,3.0,2.0,7.0,lec_SX
49,50,SY,,D,f,2.0,2.0,10.0,lec_SY
50,51,TE,,R,g,5.0,5.0,-1.0,lec_TE
51,52,TU,,S,g,3.0,2.0,9.0,lec_TU
52,53,TV,,S,g,5.0,5.0,0.0,lec_TV
53,54,UE,,D,g,3.0,2.0,3.0,lec_UE
54,55,UF,,D,g,4.0,5.0,5.0,lec_UF
55,56,VF,,D,ga,3.0,2.0,3.0,lec_VF
56,57,VI,,R,ga,3.0,4.0,3.0,lec_VI
57,58,VM,,S,g,4.0,5.0,1.0,lec_VM
58,59,VR,,D,f,2.0,2.0,7.0,lec_VR
59,60,VS,,R,G,2.0,1.0,3.0,lec_VS
60,61,VT,,S,f,3.0,3.0,8.0,lec_VT
61,62,HS-V13,HS,,,,,,
62,63,HS-M15,HS,,,,,,
63,64,HS-T39,HS,,,,,,
64,65,HS-L7,HS,,,,,,
65,66,HS-L8,HS,,,,,,
66,67,HS-T36,HS,,,,,,
67,68,HS-T37,HS,,,,,,
