,pid,_id,lec_id,majorType_id,lecType_id,axis
0,1,T4-UF,UF,T-4,mLEC,0.0
1,2,T4-KA,KA,T-4,mLEC,1.0
2,3,T4-KI,KI,T-4,iLEC,0.0
3,4,T4-VM,VM,T-4,uLEC,
4,5,T4-HI,HI,T-4,uLEC,
5,6,T4-RU,RU,T-4,uLEC,
6,7,T4-SU,SU,T-4,uLEC,
7,8,T4-SS,SS,T-4,uLEC,
8,9,T4-VS,VS,T-4,uLEC,
9,10,T4-UE,UE,T-4,uLEC,
10,11,T4-BK,BK,T-4,uLEC,
11,12,H4-SY,SY,H-4,iLEC,0.0
12,13,V13-SX,SX,V-13,dLEC,
13,14,T28-SH,SH,T-28,dLEC,
14,15,T23-TV,TV,T-23,dLEC,
15,16,T23-IO,IO,T-23,dLEC,
16,17,V9-HI,HI,V-9,dLEC,
17,18,M14-SX,SX,M-14,dLEC,
18,19,T9-NG,NG,T-9,dLEC,
19,20,T9-PF,PF,T-9,dLEC,
20,21,T9-IO,IO,T-9,dLEC,
21,22,T20-IF,IF,T-20,dLEC,
22,23,V7-PF,PF,V-7,dLEC,
23,24,H3-OM,OM,H-3,dLEC,
24,25,T37-SX,SX,T-37,dLEC,
25,26,L5-KI,KI,L-5,dLEC,
26,27,T35-SX,SX,T-35,dLEC,
27,28,T12-TV,TV,T-12,mLEC,0.0
28,29,T12-SA,SA,T-12,uLEC,
29,30,T27-SH,SH,T-27,dLEC,
30,31,T36-SX,SX,T-36,dLEC,
31,32,T39-SX,SX,T-39,dLEC,
32,33,T43-SX,SX,T-43,dLEC,
33,34,T43-MB,MB,T-43,dLEC,
34,35,F3-OM,OM,F-3,dLEC,
35,36,L7-SX,SX,L-7,dLEC,
36,37,T34-HI,HI,T-34,dLEC,
37,38,T34-HR,HR,T-34,dLEC,
38,39,T6-TV,TV,T-6,mLEC,0.0
39,40,T6-SA,SA,T-6,dLEC,
40,41,V4-KI,KI,V-4,iLEC,0.0
41,42,V12-SX,SX,V-12,dLEC,
42,43,T31-MX,MX,T-31,dLEC,
43,44,V5-KI,KI,V-5,dLEC,
44,45,V5-JV,JV,V-5,iLEC,0.0
45,46,M12-KI,KI,M-12,dLEC,
46,47,M12-JV,JV,M-12,mLEC,0.0
47,48,T8-NG,NG,T-8,mLEC,0.0
48,49,T33-HI,HI,T-33,uLEC,
49,50,T33-TV,TV,T-33,iLEC,0.0
50,51,T33-SA,SA,T-33,uLEC,
51,52,V3-VT,VT,V-3,dLEC,
52,53,T11-TV,TV,T-11,iLEC,0.0
53,54,T11-SF,SF,T-11,dLEC,
54,55,T40-SX,SX,T-40,dLEC,
55,56,T40-MB,MB,T-40,dLEC,
56,57,T45-SX,SX,T-45,dLEC,
57,58,T45-MB,MB,T-45,dLEC,
58,59,T24-TV,TV,T-24,dLEC,
59,60,T24-IO,IO,T-24,dLEC,
60,61,T24-SA,SA,T-24,dLEC,
61,62,T38-SX,SX,T-38,dLEC,
62,63,T16-RU,RU,T-16,iLEC,0.0
63,64,F4-SY,SY,F-4,iLEC,0.0
64,65,T10-AS,AS,T-10,dLEC,
65,66,M10-GS,GS,M-10,iLEC,0.0
66,67,T21-SS,SS,T-21,mLEC,0.0
67,68,T14-VI,VI,T-14,iLEC,0.0
68,69,T26-SH,SH,T-26,dLEC,
69,70,T5-GS,GS,T-5,mLEC,0.0
70,71,T41-SX,SX,T-41,dLEC,
71,72,T41-MB,MB,T-41,dLEC,
72,73,T44-SX,SX,T-44,dLEC,
73,74,T44-MB,MB,T-44,dLEC,
74,75,T32-HI,HI,T-32,mLEC,1.0
75,76,L6-OM,OM,L-6,iLEC,0.0
76,77,T42-SX,SX,T-42,dLEC,
77,78,T42-MB,MB,T-42,dLEC,
78,79,V10 -HI,HI,V-10 ,dLEC,
79,80,V10 -IO,IO,V-10 ,dLEC,
80,81,T29-SH,SH,T-29,dLEC,
81,82,T25-SH,SH,T-25,dLEC,
82,83,V6-SV,SV,V-6,mLEC,0.0
83,84,V6-IO,IO,V-6,dLEC,
84,85,T19-PF,PF,T-19,dLEC,
85,86,T19-OF,OF,T-19,dLEC,
86,87,T17-SU,SU,T-17,uLEC,
87,88,T18-VF,VF,T-18,iLEC,0.0
88,89,M15-SX,SX,M-15,dLEC,
89,90,L8-SX,SX,L-8,dLEC,
90,91,M9-SM,SM,M-9,mLEC,0.0
91,92,M11-KI,KI,M-11,iLEC,0.0
92,93,V8-VT,VT,V-8,dLEC,
93,94,V11-SX,SX,V-11,dLEC,
94,95,F5-SY,SY,F-5,iLEC,0.0
95,96,T15-VS,VS,T-15,uLEC,
96,97,H2-SM,SM,H-2,mLEC,0.0
97,98,T7-SV,SV,T-7,mLEC,1.0
98,99,T30-VF,VF,T-30,iLEC,1.0
99,100,T13-RU,RU,T-13,iLEC,1.0
100,101,M13-OM,OM,M-13,iLEC,0.0
101,102,T22-JF,JF,T-22,dLEC,
102,103,M1-VF,VF,M-1,mLEC,0.0
103,104,M1-DL,DL,M-1,mLEC,1.0
104,105,M1-SA,SA,M-1,mLEC,2.0
105,106,M1-HF,HF,M-1,iLEC,0.0
106,107,M1-S1,S1,M-1,iLEC,1.0
107,108,M1-IF,IF,M-1,iLEC,2.0
108,109,M1-VR,VR,M-1,uLEC,
109,110,M1-RU,RU,M-1,uLEC,
110,111,M13-DL,DL,M-13,iLEC,1.0
111,112,F1-VF,VF,F-1,iLEC,0.0
112,113,F1-HU,HU,F-1,iLEC,1.0
113,114,F1-KA,KA,F-1,iLEC,2.0
114,115,F1-TU,TU,F-1,uLEC,
115,116,L2-S3E,S3E,L-2,mLEC,0.0
116,117,L2-S3F,S3F,L-2,mLEC,1.0
117,118,L2-S3S,S3S,L-2,mLEC,2.0
118,119,L2-KA,KA,L-2,mLEC,2.0
119,120,L2-IO,IO,L-2,iLEC,0.0
