pid,_id,majorType_id,detail_id
1,T4-1,T-4,minor_type_T4-1
2,T4-2,T-4,minor_type_T4-2
3,T4-3,T-4,minor_type_T4-3
4,T4-4,T-4,minor_type_T4-4
5,T4-5,T-4,minor_type_T4-5
6,T4-6,T-4,minor_type_T4-6
7,T4-7,T-4,minor_type_T4-7
8,T4-8,T-4,minor_type_T4-8
9,T4-9,T-4,minor_type_T4-9
10,T4-10,T-4,minor_type_T4-10
11,T4-11,T-4,minor_type_T4-11
12,T4-12,T-4,minor_type_T4-12
13,T4-13,T-4,minor_type_T4-13
14,T4-14,T-4,minor_type_T4-14
15,T4-15,T-4,minor_type_T4-15
16,T4-16,T-4,minor_type_T4-16
17,T4-17,T-4,minor_type_T4-17
18,T4-18,T-4,minor_type_T4-18
19,T4-19,T-4,minor_type_T4-19
20,T4-20,T-4,minor_type_T4-20
21,M1-1,M-1,minor_type_M1-1
22,M1-2,M-1,minor_type_M1-2
23,M1-3,M-1,minor_type_M1-3
24,M1-4,M-1,minor_type_M1-4
25,M1-5,M-1,minor_type_M1-5
26,M1-6,M-1,minor_type_M1-6
27,M1-7,M-1,minor_type_M1-7
28,M1-8,M-1,minor_type_M1-8
29,M1-9,M-1,minor_type_M1-9
30,M1-10,M-1,minor_type_M1-10
31,M1-11,M-1,minor_type_M1-11
32,M1-12,M-1,minor_type_M1-12
33,M1-13,M-1,minor_type_M1-13
34,M1-14,M-1,minor_type_M1-14
35,M1-15,M-1,minor_type_M1-15
36,M1-16,M-1,minor_type_M1-16
37,M1-17,M-1,minor_type_M1-17
38,M1-18,M-1,minor_type_M1-18
39,M1-19,M-1,minor_type_M1-19
40,M1-20,M-1,minor_type_M1-20
41,M1-21,M-1,minor_type_M1-21
42,M1-22,M-1,minor_type_M1-22
43,M1-23,M-1,minor_type_M1-23
44,M1-24,M-1,minor_type_M1-24
45,M1-25,M-1,minor_type_M1-25
46,M1-26,M-1,minor_type_M1-26
47,M1-27,M-1,minor_type_M1-27
48,M1-28,M-1,minor_type_M1-28
49,M1-29,M-1,minor_type_M1-29
50,M2-1,M-2,minor_type_M2-1
