pid,_id,minorType_id,mappingScale_id,detail_id,is_implemented
1,M5-D-29,M5-29,10000,minor_type_M5-29,2
2,M9-B-7,M9-7,2500,minor_type_M9-7,2
3,T39-2,T39-2,500,minor_type_T39-2,2
4,V3-3,V3-3,500,minor_type_V3-3,2
5,T18-3,T18-3,500,minor_type_T18-3,2
6,T3-C-13,T3-13,5000,minor_type_scaled_T3-C-13,2
7,T7-E-2,T7-3,20000,minor_type_scaled_T7-C-12,2
8,T7-E-2,T7-2,20000,minor_type_scaled_T7-C-4,2
9,T7-E-2,T7-4,20000,minor_type_scaled_T7-C-2,2
10,T7-E-2,T7-12,20000,minor_type_scaled_T7-C-3,2
11,T4-12,T4-12,500,minor_type_T4-12,2
12,T5-C-6,T5-9,5000,minor_type_scaled_T5-C-6,2
13,H1-C-2,H1-2,5000,minor_type_H1-2,2
14,M3-D-14,M3-14,10000,minor_type_M3-14,2
15,F2-E-14,F2-14,20000,minor_type_F2-14,2
16,M15-D-2,M15-2,10000,minor_type_M15-2,2
17,M12-C-1,M12-1,5000,minor_type_M12-1,2
18,M4-C-18,M4-18,5000,minor_type_M4-18,2
19,T45-D-1,T45-2,10000,,2
20,T45-D-1,T45-1,10000,minor_type_scaled_T45-C-1,2
21,T1-68,T1-68,500,minor_type_T1-68,2
22,T31-E-2,T31-2,20000,minor_type_scaled_T31-C-3,2
23,T31-E-2,T31-3,20000,minor_type_scaled_T31-C-2,2
24,T5-4,T5-4,500,minor_type_T5-4,2
25,M5-E-9,M5-9,20000,minor_type_M5-9,2
26,M5-C-5,M5-5,5000,minor_type_M5-5,2
27,T6-B-2,T6-4,2500,minor_type_scaled_T6-C-2,2
28,T35-D-2,T35-3,10000,minor_type_scaled_T35-C-2,2
29,T35-D-2,T35-2,10000,,2
30,F2-B-5,F2-5,2500,minor_type_F2-5,2
31,H4-D-2,H4-2,10000,minor_type_H4-2,2
32,M1-C-21,M1-21,5000,minor_type_M1-21,2
33,T13-D-1,T13-2,10000,minor_type_scaled_T13-C-1,2
34,T13-D-1,T13-1,10000,minor_type_scaled_T13-C-2,2
35,T28-1,T28-1,500,minor_type_T28-1,2
36,M3-18,M3-18,500,minor_type_M3-18,2
37,V4-B-2,V4-3,2500,,2
38,V4-B-2,V4-2,2500,minor_type_scaled_V4-C-2,2
