,pid,scientificNameId,scientificName,author,vernacularName
0,1,69027,Cladonia amaurocraea,(Flörke) Schaerer,begerpigglav
1,2,69033,Cladonia arbuscula,(Wallr.) Flot.,lys reinlav
2,3,69044,Cladonia bellidiflora,(Ach.) Schaerer,blomsterlav
3,4,69060,Cladonia cariosa,(Ach.) Sprengel,småtrevlelav
4,5,69061,Cladonia carneola,(Fr.) Fr.,bleikbeger
5,6,69064,Cladonia cenotea,(Ach.) Schaerer,meltraktlav
6,7,69071,Cladonia chlorophaea,(Sommerf.) Sprengel,pulverbrunbeger
7,8,69075,Cladonia coccifera,(L.) Willd.,grynrødbeger
8,9,69078,Cladonia coniocraea,(Flörke) Spreng.,stubbesyl
9,10,69085,Cladonia cornuta,(L.) Hoffm.,skogsyl
10,11,69088,Cladonia crispata,(Ach.) Flotow,traktlav
11,12,69091,Cladonia cyanipes,(Sommerf.) Nyl.,blåfotlav
12,13,69096,Cladonia deformis,(L.) Hoffm.,begerfausklav
13,14,69101,Cladonia digitata,(L.) Hoffm.,fingerbeger
14,15,69116,Cladonia fimbriata,(L.) Fr.,melbeger
15,16,69118,Cladonia floerkeana,(Fr.) Flörke,kystrødtopp
16,17,69120,Cladonia foliacea,(Hudson) Willd.,flikskjell
17,18,69123,Cladonia furcata,(Hudson) Schrader,gaffellav
18,19,69131,Cladonia gracilis,(L.) Willd.,syllav
19,20,69173,Cladonia macilenta,Hoffm.,melrødtopp
20,21,69175,Cladonia macrophylla,(Schaerer) Stenham.,trevlelav
21,22,69228,Cladonia phyllophora,Hoffm.,svartfotlav
22,23,69261,Cladonia rangiferina,(L.) F. H. Wigg.,grå reinlav
23,24,69294,Cladonia squamosa,Hoffm.,fnaslav
24,25,69297,Cladonia stellaris,(Opiz) Pouzar & Vezda,kvitkrull
25,26,69328,Cladonia subulata,(L.) F. H. Wigg,hornlav
26,27,69331,Cladonia sulphurina,(Michaux) Fr.,fausklav
27,28,69343,Cladonia turgida,Hoffm.,narreskjell
28,29,69348,Cladonia uncialis,(L.) Wigg.,pigglav
29,30,69358,Cladonia verticillata,(Hoffm.) Schaer.,etasjebeger
30,31,71602,Cetraria ericetorum,Opiz,smal islandslav
31,32,71604,Cetraria islandica,(L.) Ach.,islandslav
32,33,71719,Flavocetraria cucullata,(Bellardi) Kärnefelt & Thell,gulskjerpe
33,34,71720,Flavocetraria nivalis,(L.) Kärnefelt & Thell,gulskinn
34,35,75320,Sphaerophorus fragilis,(L.) Pers.,grå korallav
35,36,75321,Sphaerophorus globosus,(Hudson) Vainio,brun korallav
36,37,75408,Stereocaulon saxatile,Magnusson,grå saltlav
37,38,78432,Nephroma arcticum,(L.) Torss.,storvrenge
38,39,78461,Peltigera aphthosa,(L.) Willd.,grønnever
39,40,78464,Peltigera canina,(L.) Willd.,bikkjenever
40,41,78469,Peltigera degenii,Gyelnik,blank bikkjenever
41,42,78478,Peltigera horizontalis,(Hudson) Baumg.,blanknever
42,43,78486,Peltigera leucophlebia,(Nyl.) Gyelnik,åregrønnever
43,44,78488,Peltigera malacea,(Ach.) Funck,mattnever
44,45,78490,Peltigera membranacea,(Ach.) Nyl.,hinnenever
45,46,78498,Peltigera polydactylon,(Neck.) Hoffm.,fingernever
46,47,78500,Peltigera praetextata,(Sommerf.) Zopf,skjellnever
47,48,78511,Peltigera venosa,(L.) Hoffm.,kalknever
48,49,86528,Cladonia symphycarpa,(Flörke) Fr.,kalkpolster
49,50,99419,Allium ursinum,L.,ramsløk
50,51,99485,Cephalanthera rubra,(L.) Rich.,rød skogfrue
51,52,99489,Coeloglossum viride,(L.) Hartm.,grønnkurle
52,53,99493,Corallorhiza trifida,Châtel.,korallrot
53,54,99495,Cypripedium calceolus,L.,marisko
54,55,99503,Dactylorhiza maculata,(L.) Soó,blekmarihand
55,56,99508,Epipactis atrorubens,(Hoffm.) Besser,rødflangre
56,57,99509,Epipactis helleborine,(L.) Crantz,breiflangre
57,58,99514,Epipogium aphyllum,Sw.,huldreblom
58,59,99516,Goodyera repens,(L.) R.Br.,knerot
59,60,99518,Gymnadenia conopsea,(L.) R.Br.,brudespore
60,61,99528,Listera cordata,(L.) R.Br.,småtveblad
61,62,99529,Listera ovata,(L.) R.Br.,stortveblad
62,63,99535,Neottia nidus-avis,(L.) Rich.,fuglereir
63,64,99539,Ophrys insectifera,L.,flueblom
64,65,99541,Orchis mascula,(L.) L.,vårmarihand
65,66,99543,Platanthera bifolia,(L.) Rich.,nattfiol
66,67,99546,Platanthera montana,(F.W.Schmidt) Rchb.f.,grov nattfiol
67,68,99552,Convallaria majalis,L.,liljekonvall
68,69,99554,Maianthemum bifolium,(L.) F.W.Schmidt,maiblom
69,70,99559,Polygonatum multiflorum,(L.) All.,storkonvall
70,71,99560,Polygonatum odoratum,(Mill.) Druce,kantkonvall
71,72,99561,Polygonatum verticillatum,(L.) All.,kranskonvall
72,73,99577,Gagea lutea,(L.) Ker Gawl.,gullstjerne
73,74,99592,Paris quadrifolia,L.,firblad
74,75,99627,Carex brunnescens brunnescens,,brun seterstarr
75,76,99628,Carex brunnescens vitilis,(Fr.) Kalela,sumpseterstarr
76,77,99631,Carex capillaris,L.,hårstarr
77,78,99638,Carex demissa,Hornem.,grønnstarr
78,79,99640,Carex digitata,L.,fingerstarr
79,80,99650,Carex ericetorum,Pollich,bakkestarr
80,81,99652,Carex flacca,Schreb.,blåstarr
81,82,99653,Carex flava,L.,gulstarr
82,83,99664,Carex hostiana,DC.,engstarr
83,84,99672,Carex leporina,L.,harestarr
84,85,99686,Carex muricata,L.,piggstarr
85,86,99692,Carex nigra,(L.) Reichard.,småstarr
86,87,99696,Carex ornithopoda,Willd.,fuglestarr
87,88,99700,Carex pallescens,L.,bleikstarr
