pid,_id,majorTypeLEC_id,order,detail_id,lec_id,majorType_id,selected
1,T4-KA.abc,T4-KA,0.0,standard_segment_T4-KA.abc,KA,T-4,1.0
2,T4-KA.de,T4-KA,1.0,standard_segment_T4-KA.de,KA,T-4,0.0
3,T4-KA.fg,T4-KA,2.0,standard_segment_T4-KA.fg,KA,T-4,0.0
4,T4-KA.hi,T4-KA,3.0,standard_segment_T4-KA.hi,KA,T-4,0.0
5,T4-KI.0a,T4-KI,0.0,standard_segment_T4-KI.0a,KI,T-4,1.0
6,T4-KI.bc,T4-KI,1.0,standard_segment_T4-KI.bc,KI,T-4,0.0
7,T4-UF.ab,T4-UF,0.0,standard_segment_T4-UF.ab,UF,T-4,1.0
8,T4-UF.cd,T4-UF,1.0,standard_segment_T4-UF.cd,UF,T-4,0.0
9,T4-UF.ef,T4-UF,2.0,standard_segment_T4-UF.ef,UF,T-4,0.0
10,T4-UF.gh,T4-UF,3.0,standard_segment_T4-UF.gh,UF,T-4,0.0
11,H4-SY.abcd,H4-SY,,,SY,H-4,
12,V13-SX.o,V13-SX,,,SX,V-13,
13,T28-SH.d,T28-SH,,,SH,T-28,
14,T23-TV.k,T23-TV,,,TV,T-23,
15,T23-IO.¤,T23-IO,,,IO,T-23,
16,V9-HI.bcde,V9-HI,,,HI,V-9,
17,M14-SX.a,M14-SX,,,SX,M-14,
18,T9-NG.ab,T9-NG,,,NG,T-9,
19,T9-PF.a,T9-PF,,,PF,T-9,
20,T9-IO.b¤,T9-IO,,,IO,T-9,
21,T20-IF.b,T20-IF,,,IF,T-20,
22,V7-PF.a,V7-PF,,,PF,V-7,
23,H3-OM.¤,H3-OM,,,OM,H-3,
24,T37-SX.g,T37-SX,,,SX,T-37,
25,L5-KI.e¤,L5-KI,,,KI,L-5,
26,T35-SX.e,T35-SX,,,SX,T-35,
27,T12-TV.0abcdefghijk,T12-TV,,,TV,T-12,
28,T12-SA.abcdef+,T12-SA,,,SA,T-12,
29,T27-SH.c,T27-SH,,,SH,T-27,
30,T36-SX.f,T36-SX,,,SX,T-36,
31,T39-SX.h,T39-SX,,,SX,T-39,
32,T43-SX.k,T43-SX,,,SX,T-43,
33,T43-MB.+,T43-MB,,,MB,T-43,
34,F3-OM.¤,F3-OM,,,OM,F-3,
35,L7-SX.c,L7-SX,,,SX,L-7,
36,T34-HI.bcde,T34-HI,,,HI,T-34,
37,T34-HR.a,T34-HR,,,HR,T-34,
38,T6-TV.0abcdefghijk,T6-TV,,,TV,T-6,
39,T6-SA.abcdef+,T6-SA,,,SA,T-6,
40,V4-KI.de¤,V4-KI,,,KI,V-4,
41,V12-SX.n,V12-SX,,,SX,V-12,
42,T31-MX.a,T31-MX,,,MX,T-31,
43,V5-KI.de¤,V5-KI,,,KI,V-5,
44,V5-JV.abcde¤,V5-JV,,,JV,V-5,
45,M12-KI.e¤,M12-KI,,,KI,M-12,
46,M12-JV.abcde¤,M12-JV,,,JV,M-12,
47,T8-NG.abcd¤,T8-NG,,,NG,T-8,
48,T33-HI.bcde,T33-HI,,,HI,T-33,
49,T33-TV.0abcdefghijk,T33-TV,,,TV,T-33,
50,T33-SA.abcdef+,T33-SA,,,SA,T-33,
51,V3-VT.c,V3-VT,,,VT,V-3,
52,T11-TV.0abcdefghijk,T11-TV,,,TV,T-11,
53,T11-SF.b¤,T11-SF,,,SF,T-11,
54,T40-SX.i,T40-SX,,,SX,T-40,
55,T40-MB.0,T40-MB,,,MB,T-40,
56,T45-SX.l,T45-SX,,,SX,T-45,
57,T45-MB.+,T45-MB,,,MB,T-45,
58,T24-TV.k,T24-TV,,,TV,T-24,
59,T24-IO.¤,T24-IO,,,IO,T-24,
60,T24-SA.abcdef+,T24-SA,,,SA,T-24,
61,T38-SX.e,T38-SX,,,SX,T-38,
62,T16-RU.bcde¤,T16-RU,,,RU,T-16,
63,F4-SY.abc,F4-SY,,,SY,F-4,
64,T10-AS.a,T10-AS,,,AS,T-10,
65,M10-GS.abcd¤,M10-GS,,,GS,M-10,
66,T21-SS.0abcdefghi,T21-SS,,,SS,T-21,
67,T14-VI.abc¤,T14-VI,,,VI,T-14,
68,T26-SH.b,T26-SH,,,SH,T-26,
69,T5-GS.abcd¤,T5-GS,,,GS,T-5,
70,T41-SX.j,T41-SX,,,SX,T-41,
71,T41-MB.+,T41-MB,,,MB,T-41,
72,T44-SX.l,T44-SX,,,SX,T-44,
73,T44-MB.+,T44-MB,,,MB,T-44,
74,T32-HI.bcde,T32-HI,,,HI,T-32,
75,L6-OM.b¤,L6-OM,,,OM,L-6,
76,T42-SX.k,T42-SX,,,SX,T-42,
77,T42-MB.0,T42-MB,,,MB,T-42,
78,V10 -HI.bcde,V10 -HI,,,HI,V-10 ,
79,V10 -IO.0a,V10 -IO,,,IO,V-10 ,
80,T29-SH.e,T29-SH,,,SH,T-29,
81,T25-SH.a,T25-SH,,,SH,T-25,
82,V6-SV.abcdefg¤,V6-SV,,,SV,V-6,
83,V6-IO.0a,V6-IO,,,IO,V-6,
84,T19-PF.a,T19-PF,,,PF,T-19,
85,T19-OF.a,T19-OF,,,OF,T-19,
86,T17-SU.bc,T17-SU,,,SU,T-17,
87,T18-VF.fgh¤,T18-VF,,,VF,T-18,
88,M15-SX.b,M15-SX,,,SX,M-15,
89,L8-SX.d,L8-SX,,,SX,L-8,
90,M9-SM.ghi¤,M9-SM,,,SM,M-9,
91,M11-KI.e¤,M11-KI,,,KI,M-11,
92,V8-VT.a,V8-VT,,,VT,V-8,
93,V11-SX.m,V11-SX,,,SX,V-11,
94,F5-SY.abcd,F5-SY,,,SY,F-5,
95,T15-VS.bcd,T15-VS,,,VS,T-15,
96,H2-SM.abcdefghi¤,H2-SM,,,SM,H-2,
97,T7-SV.abcdefg¤,T7-SV,,,SV,T-7,
98,T30-VF.bcde,T30-VF,,,VF,T-30,
99,T13-RU.bcde¤,T13-RU,,,RU,T-13,
100,M13-OM.b¤,M13-OM,,,OM,M-13,
101,T22-JF.ab,T22-JF,,,JF,T-22,
102,M1-VF.0ab,M1-VF,0.0,,VF,M-1,1.0
