,pid,standardSegment_id,elementarySegment_id
0,1,T4-UF.ab,UF.a
1,2,T4-UF.ab,UF.b
2,3,T4-UF.cd,UF.c
3,4,T4-UF.cd,UF.d
4,5,T4-UF.ef,UF.e
5,6,T4-UF.ef,UF.f
6,7,T4-UF.gh,UF.g
7,8,T4-UF.gh,UF.h
8,9,T4-KA.abc,KA.a
9,10,T4-KA.abc,KA.b
10,11,T4-KA.abc,KA.c
11,12,T4-KA.de,KA.d
12,13,T4-KA.de,KA.e
13,14,T4-KA.fg,KA.f
14,15,T4-KA.fg,KA.g
15,16,T4-KA.hi,KA.h
16,17,T4-KA.hi,KA.i
17,18,T4-KI.0a,KI.0
18,19,T4-KI.0a,KI.a
19,20,T4-KI.bc,KI.b
20,21,T4-KI.bc,KI.c
21,22,H4-SY.abcd,SY.a
22,23,H4-SY.abcd,SY.b
23,24,H4-SY.abcd,SY.c
24,25,H4-SY.abcd,SY.d
25,26,V13-SX.o,SX.o
26,27,T28-SH.d,SH.d
27,28,T23-TV.k,TV.k
28,29,T23-IO.¤,IO.¤
29,30,V9-HI.bcde,HI.b
30,31,V9-HI.bcde,HI.c
31,32,V9-HI.bcde,HI.d
32,33,V9-HI.bcde,HI.e
33,34,M14-SX.a,SX.a
34,35,T9-NG.ab,NG.a
35,36,T9-NG.ab,NG.b
36,37,T9-PF.a,PF.a
37,38,T9-IO.b¤,IO.b
38,39,T9-IO.b¤,IO.¤
39,40,T20-IF.b,IF.b
40,41,V7-PF.a,PF.a
41,42,H3-OM.¤,OM.¤
42,43,T37-SX.g,SX.g
43,44,L5-KI.e¤,KI.e
44,45,L5-KI.e¤,KI.¤
45,46,T35-SX.e,SX.e
46,47,T12-TV.0abcdefghijk,TV.0
47,48,T12-TV.0abcdefghijk,TV.a
48,49,T12-TV.0abcdefghijk,TV.b
49,50,T12-TV.0abcdefghijk,TV.c
50,51,T12-TV.0abcdefghijk,TV.d
51,52,T12-TV.0abcdefghijk,TV.e
52,53,T12-TV.0abcdefghijk,TV.f
53,54,T12-TV.0abcdefghijk,TV.g
54,55,T12-TV.0abcdefghijk,TV.h
55,56,T12-TV.0abcdefghijk,TV.i
56,57,T12-TV.0abcdefghijk,TV.j
57,58,T12-TV.0abcdefghijk,TV.k
58,59,T12-SA.abcdef+,SA.a
59,60,T12-SA.abcdef+,SA.b
60,61,T12-SA.abcdef+,SA.c
61,62,T12-SA.abcdef+,SA.d
62,63,T12-SA.abcdef+,SA.e
63,64,T12-SA.abcdef+,SA.f
64,65,T12-SA.abcdef+,SA.+
65,66,T27-SH.c,SH.c
66,67,T36-SX.f,SX.f
67,68,T39-SX.h,SX.h
68,69,T43-SX.k,SX.k
69,70,T43-MB.+,MB.+
70,71,F3-OM.¤,OM.¤
71,72,L7-SX.c,SX.c
72,73,T34-HI.bcde,HI.b
73,74,T34-HI.bcde,HI.c
74,75,T34-HI.bcde,HI.d
75,76,T34-HI.bcde,HI.e
76,77,T34-HR.a,HR.a
77,78,T6-TV.0abcdefghijk,TV.0
78,79,T6-TV.0abcdefghijk,TV.a
79,80,T6-TV.0abcdefghijk,TV.b
80,81,T6-TV.0abcdefghijk,TV.c
81,82,T6-TV.0abcdefghijk,TV.d
82,83,T6-TV.0abcdefghijk,TV.e
83,84,T6-TV.0abcdefghijk,TV.f
84,85,T6-TV.0abcdefghijk,TV.g
85,86,T6-TV.0abcdefghijk,TV.h
86,87,T6-TV.0abcdefghijk,TV.i
87,88,T6-TV.0abcdefghijk,TV.j
88,89,T6-TV.0abcdefghijk,TV.k
89,90,T6-SA.abcdef+,SA.a
90,91,T6-SA.abcdef+,SA.b
91,92,T6-SA.abcdef+,SA.c
92,93,T6-SA.abcdef+,SA.d
93,94,T6-SA.abcdef+,SA.e
94,95,T6-SA.abcdef+,SA.f
95,96,T6-SA.abcdef+,SA.+
96,97,V4-KI.de¤,KI.d
